ID,AttackingWorkRate,DefensiveWorkRate
173731,Medium,Medium
178005,Medium,Medium
178562,High,Medium
180206,Medium,Medium
183512,High,Medium
187072,Medium,Medium
188943,Medium,Medium
193698,Medium,Medium
189242,High,Medium
190815,High,Medium
192318,Medium,Medium
193105,Medium,Medium
193165,High,Medium
193301,High,High
193474,Medium,High
193525,High,Medium
211515,Medium,Medium
234378,Medium,High
200888,Medium,High
235374,High,High
209297,High,High
208618,High,Medium
208596,High,High
208448,Medium,Medium
251854,High,High
251573,High,Medium
247394,High,Medium
247263,Medium,High
245279,High,High
241852,High,Low
240950,High,Medium
239231,High,Medium
238074,High,Medium
208330,Medium,Low
210385,Medium,Medium
207439,Medium,Medium
206511,High,Medium
205678,High,Medium
205659,Medium,Medium
205569,Medium,High
205175,Medium,Medium
204638,Medium,Medium
204525,Medium,Medium
204311,Medium,Medium
204120,Medium,Medium
203551,High,Medium
202695,Low,High
201095,Medium,Medium
210008,Medium,Medium
210406,Medium,Medium
230225,High,Medium
221992,High,Low
230258,High,Medium
230294,High,Low
230347,Medium,Medium
228251,Medium,Medium
227950,Medium,Medium
227127,Medium,Medium
226226,High,High
226166,Medium,High
226110,High,Medium
225375,Medium,High
224411,High,Low
224081,Medium,High
223952,Medium,Medium
221479,High,Medium
210411,High,High
221363,High,Medium
220407,Medium,Medium
220093,High,Medium
217940,Medium,High
216475,High,Medium
216409,High,Medium
216201,High,Medium
215330,Medium,Medium
214979,Medium,Medium
212194,High,Medium
211990,Medium,Medium
211300,Low,Low
210463,High,Medium
200949,High,Medium
230256,Medium,Medium
200724,Low,High
234906,High,Low
163705,Medium,Medium
167664,High,Medium
171791,Medium,High
172871,Medium,Medium
176266,Low,High
178086,Medium,Medium
181458,Medium,Medium
181872,High,High
183574,High,Low
184200,Medium,Low
187754,Medium,Low
190674,High,High
192366,Medium,High
234742,High,Medium
200454,Medium,Low
234153,Medium,Medium
233927,High,High
232411,Medium,Medium
231969,Medium,Medium
230430,Medium,Medium
193283,Low,High
193314,Medium,Medium
193983,High,High
195365,High,High
195859,High,High
197965,High,Medium
198164,High,Medium
198710,Medium,Low
163489,Medium,Medium
156519,Medium,Medium
153244,High,Medium
124375,High,Medium
45186,High,Medium
200260,Medium,Medium
199987,Medium,Medium
199564,Medium,Medium
199304,Medium,High
139068,High,Medium
213661,Low,Medium
209519,High,High
209960,Medium,Medium
210455,High,High
211117,High,Medium
212151,Medium,Medium
212187,High,Medium
212814,Medium,Medium
215223,Medium,Medium
214584,Medium,Medium
215316,Medium,Medium
217870,Medium,Medium
219683,High,Medium
219953,High,High
220182,Medium,High
220971,Medium,Medium
221087,Medium,Medium
221660,Medium,High
222331,Medium,Medium
222716,High,Low
223724,High,High
198141,High,Medium
201143,High,Medium
208808,High,Medium
171877,High,Medium
231447,Medium,Low
1179,Medium,Medium
140233,Medium,Medium
148119,Medium,Medium
162347,Medium,High
169588,Medium,High
171579,Medium,Medium
172522,Medium,Medium
183855,Medium,Medium
173426,Medium,Medium
176676,High,Low
177388,High,Medium
177509,Medium,High
177604,Medium,Medium
178518,High,Medium
182493,Medium,High
232119,Medium,Medium
232293,High,Medium
233195,High,High
233306,Medium,Medium
246669,High,Medium
244470,High,High
244369,High,Medium
243576,High,High
241095,High,Medium
241084,High,Medium
240900,Medium,High
240709,High,Medium
239207,High,Low
238794,High,Medium
237383,Medium,High
237238,Medium,High
236987,Medium,High
236583,Medium,Medium
236401,High,Low
182494,Medium,Medium
184941,Medium,Medium
207877,High,Medium
204399,High,Low
201922,Medium,Medium
202024,Medium,Medium
202166,Medium,Medium
202325,Medium,High
203890,High,Medium
203895,High,Medium
203980,High,Low
204970,High,Medium
185020,High,Medium
205600,Low,Medium
205686,High,Medium
205693,High,Medium
205705,Medium,Medium
205849,Medium,Medium
207599,Low,High
207732,High,Medium
201400,High,Medium
223959,Medium,High
201119,High,Medium
199254,High,Medium
186561,Medium,Medium
187598,Medium,High
189117,Medium,Medium
189271,Medium,High
189690,Medium,Medium
190972,High,Medium
193061,High,High
196432,Medium,High
197225,High,Medium
197242,High,High
198009,Medium,Medium
198031,Medium,High
198950,High,Medium
198951,Medium,Medium
199042,Medium,High
223816,High,Medium
216189,High,High
224179,High,Medium
230201,High,Medium
227290,Medium,Medium
227813,High,Medium
227928,Medium,Medium
229237,Medium,Medium
229261,High,Medium
229582,Medium,High
229857,Medium,Medium
229927,Medium,Medium
224309,Medium,Medium
230271,Medium,Medium
230313,Medium,Medium
230767,High,High
226754,Medium,Medium
226491,High,High
225953,High,Medium
225201,High,Medium
225085,High,High
230204,Medium,Medium
230498,High,Medium
192123,High,Low
191202,Low,Medium
191740,High,High
192064,High,Medium
192906,High,Low
192598,High,High
192638,High,Low
192789,High,Medium
190745,Medium,Medium
190813,Medium,Medium
189615,High,Medium
190717,High,Medium
190584,Medium,High
189805,Medium,High
189682,Low,High
193348,Medium,Low
189560,Medium,Medium
188042,High,Medium
188041,Medium,Medium
187052,High,High
186682,Medium,Medium
193198,Low,Medium
198230,Medium,High
194209,High,Medium
202048,Low,High
204024,High,High
203483,High,High
203299,Medium,Medium
202935,Medium,High
202857,High,Medium
202750,Medium,Medium
202648,Medium,Medium
202477,High,Low
202335,Medium,High
201455,Medium,Medium
194333,Medium,Medium
200726,Medium,Medium
200315,Medium,Medium
199503,Low,Medium
199354,Medium,Low
198946,Medium,Medium
198784,High,High
198329,High,Medium
178509,Medium,Medium
196978,High,Medium
184484,Medium,Medium
170890,Medium,High
176919,Medium,Medium
226300,Medium,Medium
223597,High,High
224031,Low,High
224196,High,Medium
224490,High,Medium
225116,Medium,Medium
225508,Medium,High
225663,High,High
226162,High,High
226221,Low,High
226456,High,High
223249,Medium,Medium
226851,Low,High
228093,Medium,Medium
228520,High,High
228687,High,Medium
230184,High,Medium
230216,Medium,Medium
230234,High,High
230251,Medium,Medium
230312,Medium,Medium
223578,High,Medium
222501,High,High
176635,Medium,Low
216150,High,High
176550,Medium,Medium
173221,Medium,Medium
162240,High,High
159145,High,Low
158121,Medium,Medium
156616,Medium,Low
213516,Medium,Medium
204234,Medium,Medium
216145,Medium,Medium
216388,High,Low
222028,Low,High
216531,High,Medium
218339,High,High
219789,High,Medium
219809,Medium,Medium
220253,High,Low
220523,Medium,Medium
220673,Medium,High
220793,Medium,High
221491,Medium,Medium
214047,High,High
204538,High,Medium
204259,High,Medium
210513,High,Low
251809,Medium,High
252371,High,High
255475,High,Medium
212442,Medium,Medium
212404,High,Medium
212382,High,Medium
212096,Medium,Medium
211748,High,Medium
211241,High,Low
211022,High,Medium
210897,High,Medium
210625,High,Medium
210324,High,Medium
247204,High,Medium
210315,High,Medium
209846,High,Medium
208165,Medium,Medium
208135,High,High
208104,Medium,Medium
207566,Medium,Medium
207494,High,Medium
206585,Medium,Medium
206545,Medium,Medium
206467,High,Medium
205923,Medium,High
138412,Medium,High
247851,Medium,High
41,Medium,Low
244067,Medium,High
236480,High,Medium
243812,Medium,Medium
232432,Medium,Medium
232580,Medium,High
232665,Medium,Medium
232730,Medium,Medium
232756,Medium,Medium
233738,Medium,Medium
234035,High,High
234236,Medium,Medium
234612,High,Medium
235073,Medium,Medium
235688,High,High
206413,Medium,High
236506,High,High
239433,High,High
236572,High,Medium
241788,High,Medium
241637,High,High
240679,Medium,Medium
240243,Medium,Low
242516,Medium,Medium
239301,Medium,High
237239,Medium,Medium
236632,Medium,Medium
237942,High,Medium
236610,High,Medium
199576,Low,High
24630,Medium,Medium
178007,Medium,Low
178088,Medium,Medium
203605,High,Medium
199189,Low,Low
199206,Medium,High
198658,Medium,High
198657,High,High
197837,Medium,High
146439,Medium,Low
195096,High,Medium
199915,Medium,High
152908,High,Medium
156433,Medium,Medium
159261,Medium,Medium
163155,Medium,Medium
199715,Medium,Medium
200155,High,Medium
200159,Medium,Medium
201042,Medium,Medium
201417,High,Medium
201995,Medium,Medium
202493,High,Medium
194222,Medium,High
195093,Medium,Low
189053,High,Low
193469,Medium,Medium
187936,Medium,High
178213,Medium,Medium
178224,Medium,Low
178415,High,High
180216,High,High
183394,Medium,High
184392,Medium,High
185103,High,Medium
186197,High,Medium
199652,Medium,Medium
186801,High,High
187607,Medium,Low
188335,Medium,High
193408,High,High
189125,High,Medium
189280,Medium,Medium
189505,Medium,Medium
189606,Medium,High
189881,Medium,High
190243,Medium,Medium
191180,High,Low
192678,High,Medium
192679,Medium,Medium
193171,High,High
193361,Medium,Medium
202849,Medium,Medium
243559,Medium,Medium
203747,High,Low
203843,High,Medium
242187,Medium,Medium
241727,Medium,Medium
240753,High,Medium
240699,High,High
239817,Medium,Medium
239613,Medium,Medium
239380,High,Medium
238616,High,Medium
238476,Medium,High
238463,High,Medium
238067,High,Medium
237678,Medium,High
236791,Medium,Medium
236355,Medium,High
236045,Medium,High
242201,High,High
243238,High,Medium
228413,Medium,Medium
246147,High,Medium
244193,High,Medium
244253,Medium,Medium
244467,Medium,Medium
244622,High,High
245630,Medium,High
246104,Medium,Medium
246430,Medium,Medium
256630,High,Medium
246646,High,High
246844,High,Medium
248243,High,High
248695,Medium,Medium
252145,High,Medium
253163,Medium,Medium
235353,High,Medium
234835,Medium,Medium
234060,High,Medium
206651,Medium,Medium
230206,High,High
230183,High,High
229909,Medium,Medium
208295,Medium,High
208268,Medium,Medium
243630,High,High
206590,Medium,Medium
230285,Low,High
206534,High,High
205966,High,Medium
205409,Medium,Medium
205192,Medium,Medium
204614,High,Medium
204082,Medium,High
230212,Medium,Medium
230360,Medium,Medium
233486,Medium,Medium
231352,Medium,Medium
232487,Medium,High
232229,Medium,Medium
232080,High,High
231887,Medium,Medium
231691,Medium,Medium
231410,High,Medium
231340,High,Medium
230385,High,Low
230460,High,Low
230442,High,High
167397,High,Medium
230440,Medium,Medium
230426,Medium,Medium
230406,Medium,Medium
165229,Low,High
228881,High,High
170368,High,High
214097,High,High
219733,Medium,Medium
219581,High,Medium
217546,Medium,Medium
217036,High,Medium
216643,High,Medium
216320,High,High
216194,Low,High
215590,High,High
215353,High,Medium
214766,Medium,High
214092,High,Medium
219985,High,Medium
214040,High,Medium
213956,High,Low
213951,Medium,Medium
213577,High,High
213331,Medium,Medium
212419,Medium,Medium
212213,High,Medium
212207,Medium,High
211591,Medium,Low
210930,High,Medium
219792,Medium,Medium
220883,High,High
210736,High,Medium
225341,Medium,Medium
227890,High,Medium
227678,Medium,Medium
227535,Medium,Medium
227174,High,High
227055,High,High
226789,High,Medium
226766,High,Medium
225719,Medium,Medium
225711,Medium,Medium
225659,Medium,High
225263,Medium,High
221697,High,High
224371,High,Medium
224254,High,Medium
224069,High,Low
224003,Medium,Medium
223273,High,Medium
223053,High,Medium
222943,High,Medium
222558,Medium,Medium
222493,Medium,Medium
221832,High,Medium
210881,High,High
228336,Medium,Medium
177633,High,Medium
208334,Medium,Medium
171897,Medium,Medium
175379,Medium,Low
175254,High,Medium
173909,Medium,Medium
173306,Medium,High
172962,Medium,Medium
174543,Medium,Medium
208364,High,High
208920,Medium,High
209973,High,Medium
210372,Medium,Low
210537,High,Medium
210665,High,Medium
176772,Medium,Medium
234730,High,Medium
235844,Medium,High
235794,Medium,Medium
235173,Medium,High
234833,Medium,Medium
234777,Medium,Medium
234772,High,Medium
234468,Medium,Low
234678,Medium,Medium
234568,High,High
227275,Medium,Medium
234426,Medium,High
236403,High,Medium
227476,High,Medium
235889,Medium,Medium
236499,High,Medium
236441,High,High
236477,High,Medium
227508,Medium,Medium
227528,High,High
227536,High,High
227927,High,Medium
228295,Low,High
228302,High,Medium
228414,High,Medium
229167,High,Medium
212623,High,Low
212602,Medium,Medium
238041,High,Low
237520,High,High
236786,Medium,Medium
236772,Medium,Low
236639,Medium,Medium
236593,Medium,Low
236532,Medium,High
225997,High,Medium
236496,Medium,High
226637,Medium,Medium
225014,High,Medium
225793,Medium,High
188988,Medium,Medium
183353,Medium,High
183899,High,Medium
184703,High,High
184858,Medium,Low
185221,Medium,High
185239,Medium,Medium
188044,High,Low
188081,High,Low
188103,Medium,Medium
189068,Medium,Medium
181098,Medium,Medium
189250,Medium,Low
189472,Medium,High
190143,High,Low
190149,High,Medium
190432,Medium,High
190577,High,Medium
190875,High,Medium
192045,High,High
192342,Medium,Low
181820,Medium,Low
180808,Medium,High
193254,High,Medium
172114,High,Medium
20775,High,Low
49000,Medium,Medium
146748,Medium,Medium
146758,High,Low
152916,High,Low
154472,Medium,Medium
158963,Medium,Medium
165109,Medium,High
170597,Medium,Medium
172879,Low,High
180714,Medium,Medium
173432,Medium,Medium
173521,Low,Medium
173608,Medium,Medium
176600,Medium,Medium
177326,High,Medium
178250,Medium,Medium
179605,Medium,Medium
179789,Medium,High
180334,Low,High
192816,Low,High
193290,Medium,Medium
225309,High,High
222709,High,High
220287,High,Low
220421,High,Medium
220502,High,Medium
220621,High,Medium
221174,High,High
222357,Medium,High
222390,High,Medium
222400,Medium,High
222509,Medium,Medium
223550,Medium,Medium
220085,High,Medium
223874,Medium,Medium
223898,Medium,Medium
224221,Medium,Medium
224389,High,High
224422,High,Medium
224574,High,High
233531,High,Medium
225024,Medium,Medium
225126,Medium,High
220132,High,Medium
219522,Medium,Medium
193601,Medium,Medium
215071,High,Medium
213013,High,Low
213160,High,High
213655,High,Medium
213761,Medium,Low
213874,Medium,Medium
214009,Medium,High
214947,Medium,Medium
214977,Low,Medium
215057,Low,High
215160,High,High
219391,Medium,High
215441,High,Medium
215502,Medium,Medium
216258,High,Medium
216435,Medium,High
216497,Medium,Medium
217196,Low,Medium
217877,Medium,Medium
218659,High,Medium
219145,High,High
234128,High,Medium
235945,Medium,Medium
233500,High,High
202851,Medium,Medium
202562,High,Medium
202371,High,Medium
202282,High,High
201505,Medium,High
201454,High,Medium
201377,Medium,High
201325,Medium,Medium
201315,Medium,Medium
200536,High,Medium
200215,High,High
200094,Medium,High
199641,Medium,Medium
199580,Medium,Medium
199069,High,Medium
199005,Medium,Medium
198140,High,Medium
198129,Medium,High
198118,Medium,High
197948,Medium,High
197083,Medium,High
196147,Medium,High
202789,Medium,Medium
203177,Medium,Medium
212153,Medium,Medium
203487,Low,Medium
211784,Medium,Medium
211575,Low,Medium
211454,Medium,High
211320,Low,Medium
211147,High,High
210864,Medium,Medium
210617,High,Low
209440,High,Medium
209288,High,Medium
208777,High,Medium
208004,Medium,Medium
207948,Medium,Low
207791,Medium,High
207664,Medium,Low
232999,High,High
206652,Medium,Medium
206493,Low,Medium
206075,Medium,Medium
204876,High,Medium
204341,Low,Medium
203757,Medium,Medium
195479,High,Medium
195272,High,High
194958,Medium,Medium
194932,High,High
243388,High,Low
243647,Medium,Medium
244263,High,Medium
244621,High,Medium
244892,High,High
245037,Medium,High
245155,High,High
245158,High,Medium
245541,Medium,Medium
246172,High,Low
246186,High,Medium
246242,High,Medium
246420,High,Medium
247030,High,High
247257,Medium,High
251116,High,High
251412,High,Medium
252308,Medium,High
253109,Medium,Medium
253727,High,High
254796,Medium,Medium
243282,Medium,High
243015,Medium,High
242656,Medium,Medium
239901,Medium,Medium
194806,Low,Medium
194229,Medium,Medium
194022,Medium,High
238160,Medium,High
238744,High,High
238857,High,Medium
238896,High,Low
239093,High,High
239482,High,Medium
240471,High,High
241771,High,Low
240690,High,Medium
240702,High,Medium
240740,High,Medium
241049,Medium,Medium
241096,Medium,High
241184,Medium,Medium
241202,Medium,Medium
241508,High,Low
241721,Medium,Low
212067,Medium,Medium
207421,High,Medium
212245,Medium,Medium
230331,Medium,Medium
232440,High,Medium
232144,Medium,Medium
212501,High,High
232104,High,High
231633,Medium,Medium
231628,High,Medium
231554,High,Medium
231521,High,High
231318,High,High
231102,Medium,Medium
230977,Medium,High
230965,High,High
230899,Medium,Medium
230717,High,Medium
230431,High,High
230402,Medium,Medium
230384,Medium,Medium
230379,Medium,Medium
230371,Medium,Medium
212491,High,Medium
230349,Medium,Medium
230346,Medium,Medium
230337,High,Medium
232862,High,Low
230269,High,Medium
232905,High,Medium
229773,High,High
229752,Medium,High
229942,Medium,High
229971,High,Medium
230043,High,Medium
230182,Medium,Medium
230197,High,Medium
230241,Medium,Medium
207554,High,High
205391,Medium,High
205407,High,Medium
205566,High,Medium
206003,Medium,Medium
206058,Medium,Medium
206306,Medium,High
206115,Low,High
206225,High,Medium
206304,Medium,High
204308,Medium,Medium
206516,Medium,Medium
205346,High,Medium
204529,Medium,Low
205201,Medium,High
202429,High,High
204277,Medium,High
204125,High,High
204105,Medium,High
204077,High,Low
203741,High,Medium
203030,Medium,Medium
204691,Medium,Low
202599,High,Medium
202201,High,Medium
205186,Medium,Medium
201982,Medium,Medium
201976,Medium,Medium
201956,Medium,High
201858,Medium,Medium
246708,High,Medium
246785,High,Medium
204760,High,High
205083,High,Medium
202685,High,High
212228,High,High
212127,Medium,Medium
212204,Medium,High
216549,High,Medium
216700,High,Medium
216939,Medium,Medium
217699,High,High
219244,Medium,Medium
219681,High,Medium
220196,High,Medium
220477,Medium,High
220570,Medium,High
220659,Medium,High
220746,High,Medium
220831,Medium,Medium
221714,High,Medium
221841,High,Low
222368,Medium,Medium
222404,Medium,High
222461,High,Low
222515,Medium,Low
222715,Medium,High
223113,Medium,Medium
223154,Medium,Medium
223329,Medium,Medium
223627,High,Low
223690,Medium,Medium
224116,High,Medium
224151,High,Low
224158,Low,High
216433,Medium,Medium
216350,High,High
216065,Medium,Medium
213135,High,Medium
212219,Low,High
212232,High,High
212242,High,High
212260,High,Medium
212269,High,Low
212300,High,Medium
212678,High,Medium
212692,Medium,Low
212715,High,Medium
212811,Medium,Medium
212883,Medium,High
212977,Medium,Medium
213388,Medium,Medium
215785,High,Medium
214491,High,Medium
214781,Medium,Medium
214988,High,High
215051,Medium,High
215064,Medium,Low
215108,High,Medium
215119,Medium,Medium
215270,Medium,Low
215399,Medium,Medium
215455,Medium,High
215689,Medium,Medium
215699,Medium,Medium
206654,Medium,Medium
205211,Medium,Medium
207557,Medium,Medium
225859,Medium,High
224396,Low,High
224520,High,Medium
224540,Medium,Medium
224739,High,High
224869,Low,Medium
225783,Medium,Medium
225863,Medium,Medium
170320,Medium,Medium
225951,High,High
226093,High,Medium
226229,Medium,Medium
226268,Medium,Medium
226377,High,Low
226853,High,Medium
2147,Medium,Medium
104389,Medium,Medium
143121,Medium,Medium
146296,Medium,Medium
146963,High,High
151508,Medium,High
152554,Medium,Medium
154950,High,Medium
158625,Low,High
162895,Medium,Medium
163264,Medium,Medium
163925,Medium,Medium
164859,Medium,Medium
167575,Medium,Medium
167959,Medium,Medium
168621,Medium,High
169705,High,Medium
227222,High,Medium
227234,Medium,High
227236,Medium,Low
234574,High,Medium
236679,High,Medium
236276,High,Medium
236264,High,High
236221,Medium,High
235944,Medium,Medium
235875,Medium,Medium
235619,High,Low
235424,Low,High
235183,Medium,Medium
235149,Medium,High
235134,Medium,Medium
235008,Medium,Medium
234826,High,Medium
234711,Medium,Low
230280,Medium,Medium
207715,High,Medium
230189,Medium,Medium
230065,High,Medium
230020,High,High
229862,Medium,Medium
229517,High,Medium
229469,High,Medium
228819,High,Medium
228789,Medium,Medium
228747,High,Medium
228708,Medium,Medium
228635,Medium,Medium
228579,High,Medium
228386,Medium,High
228092,Medium,Medium
169706,Low,High
170370,High,High
237043,High,Medium
194794,Medium,Low
198581,Medium,High
198368,Medium,High
198006,High,High
195668,Medium,Medium
194879,High,High
194845,High,High
193881,High,Low
170719,High,Low
193683,Medium,High
193352,Medium,Medium
193331,Medium,Medium
193116,Low,Medium
192665,Medium,Medium
192641,High,Medium
198719,High,Medium
199393,Medium,High
199561,High,Low
199577,Medium,High
199633,High,High
199745,Medium,High
199767,High,High
199813,Medium,Medium
200110,Medium,Medium
200316,Medium,Medium
200529,High,Medium
200677,Medium,Medium
201118,High,Medium
201144,Medium,Medium
201262,High,High
201389,Medium,Medium
201510,High,Low
192593,Medium,Medium
192041,Low,Medium
191627,Medium,High
184826,Medium,High
170733,High,Low
173208,Medium,High
173474,High,High
176526,Medium,Medium
176930,Medium,High
179765,Medium,Medium
181318,Medium,Medium
182495,Medium,High
182945,High,Medium
183108,High,Medium
183130,High,High
183569,High,Medium
184144,Medium,Medium
184190,Medium,High
186098,Medium,Medium
190765,Medium,Medium
186156,High,High
186190,High,Low
186200,High,Medium
186537,Medium,Low
186627,Medium,Low
187491,High,Medium
187735,High,Medium
188955,Medium,Low
189060,Medium,High
189156,Medium,Medium
189251,Medium,Medium
189454,High,Medium
189712,Low,Medium
190362,High,High
236920,High,Medium
227772,Medium,Medium
237135,High,Medium
233556,High,Medium
230348,High,Medium
230373,High,High
230425,Medium,Medium
230453,Medium,High
230457,Medium,High
230463,High,Low
230475,Medium,Low
230613,Medium,High
230975,High,Medium
231366,Medium,Medium
231390,Medium,Medium
231416,Medium,Low
231936,Medium,Medium
232381,Medium,High
232498,High,Medium
232639,Medium,Low
233301,High,High
230328,Medium,Medium
230318,Medium,Medium
211093,High,High
244373,High,High
242663,Medium,Medium
242664,High,High
242816,High,Medium
243007,High,High
243715,Medium,High
244261,High,Medium
244316,Medium,Medium
244374,Medium,Medium
246618,High,Medium
244380,High,Medium
244393,Medium,Medium
244749,Medium,Medium
244778,Medium,Medium
244915,Medium,High
244960,High,Medium
245388,Medium,Medium
233493,High,High
233631,High,Medium
242577,High,Medium
233848,High,Medium
210602,High,High
210679,Medium,High
210719,Medium,Medium
210896,Medium,Medium
257179,Medium,Medium
256790,Medium,Medium
253290,High,Medium
253124,Medium,Medium
253072,High,High
253004,High,Medium
251804,High,Low
251566,High,High
251528,High,High
251221,Medium,High
247641,High,Medium
246791,High,Medium
211368,High,Low
210438,High,Medium
210384,High,Medium
210282,High,Low
208224,High,Medium
233959,High,Medium
234078,Medium,Medium
234171,Medium,Medium
237184,Medium,Medium
208001,High,Medium
208045,Medium,Medium
208053,High,Medium
208250,Medium,Low
210047,High,Medium
208375,Medium,Medium
208498,Medium,Medium
208509,Medium,Medium
208787,Medium,Medium
209039,High,Medium
209329,Medium,Medium
209744,High,Medium
242578,Medium,High
230317,Medium,Medium
242380,Medium,Medium
240273,High,High
241497,High,Medium
241187,Medium,Medium
240915,Medium,Medium
240754,High,Medium
240716,High,Medium
240458,Medium,Medium
239956,High,Medium
242374,High,Medium
239890,Medium,High
239580,Medium,Medium
238227,High,Medium
238095,Medium,High
238033,Medium,Medium
237646,High,High
241707,Medium,High
211108,High,Low
242348,Medium,Medium
242118,High,Low
241907,High,Low
231826,High,Medium
224510,High,Medium
183714,High,Medium
158626,High,Medium
215202,High,Medium
213666,Medium,Low
190113,Medium,Medium
244385,Medium,Medium
239529,High,High
184575,High,Low
203775,Medium,Medium
198143,High,Medium
240289,Medium,Medium
226045,High,Low
232099,High,Medium
198653,Medium,Medium
229628,Medium,High
156412,Medium,Medium
237819,High,High
204539,High,Medium
213242,Medium,Medium
211706,Medium,High
