ID,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,Aggression,Vision,Composure
189513,52,49,63,80,72,81,49,78,70,58,89,85
189511,40,43,67,86,50,61,66,78,72,81,83,90
189509,72,55,91,84,90,75,80,74,59,72,85,88
189332,87,86,90,80,85,64,80,87,61,75,78,80
178603,47,64,61,88,62,71,70,66,86,71,80,89
138956,67,69,53,80,57,78,91,71,91,88,50,83
162835,45,50,47,79,36,49,78,41,69,25,41,69
231866,60,62,65,80,65,83,72,87,82,76,81,83
226161,86,90,82,86,69,84,69,90,79,83,86,83
204485,84,79,92,81,88,80,56,75,57,48,84,84
208093,80,78,77,89,70,83,76,79,75,61,78,78
208830,85,85,76,91,76,87,80,76,66,87,76,88
210514,86,84,80,85,78,80,72,90,62,73,83,85
212218,59,67,57,87,60,68,80,72,84,81,65,84
213345,94,93,91,85,84,80,73,69,64,35,81,78
218667,83,77,94,84,92,76,51,93,54,70,84,87
209499,65,68,64,86,64,81,75,88,81,85,75,84
201942,77,77,85,86,86,79,81,87,74,75,83,88
194765,80,80,92,89,83,82,90,86,63,73,85,90
183277,86,82,87,79,89,82,55,77,61,54,84,89
185122,42,44,41,81,42,57,67,35,74,34,44,45
179813,64,68,68,90,57,87,88,81,77,81,75,85
177683,48,54,55,82,58,63,73,45,68,38,64,57
168542,70,57,84,85,89,72,61,66,45,56,90,91
202556,81,83,80,83,81,87,69,79,83,72,85,80
163587,45,51,61,82,47,60,60,34,64,35,59,67
143076,91,83,93,86,93,79,70,75,44,56,86,85
186942,66,65,77,86,77,79,61,74,73,70,86,87
188350,76,71,83,86,82,86,68,67,66,51,86,85
184344,60,68,59,82,53,74,90,65,86,82,71,86
188377,89,94,66,85,69,86,83,86,80,84,69,75
188567,87,91,77,86,67,82,75,79,74,43,77,87
193747,72,69,73,88,82,83,59,93,75,79,86,86
164240,52,54,67,82,66,71,88,68,82,76,71,86
206113,90,77,87,86,88,87,65,78,68,63,83,80
198176,69,74,61,85,59,65,79,80,79,77,70,85
235243,71,75,60,84,62,82,93,75,93,83,45,82
235212,95,95,86,84,79,77,80,91,73,75,75,80
231677,86,93,84,84,75,92,74,86,75,73,81,80
231478,86,83,86,89,89,80,88,80,84,86,81,83
230142,83,81,83,81,80,80,72,82,57,52,85,83
226790,65,68,69,88,66,80,90,90,78,87,67,80
223848,66,70,62,83,63,83,85,91,87,79,82,84
205498,61,50,77,82,72,71,58,87,66,79,88,81
204963,79,80,79,83,81,68,77,89,74,84,74,81
200458,81,77,74,83,78,83,94,86,69,76,75,81
197445,78,77,76,88,77,82,81,75,76,74,78,85
198706,61,59,69,74,83,78,53,75,64,29,92,78
199434,67,70,76,83,84,79,59,88,80,56,88,86
199451,83,81,91,86,91,84,78,75,69,62,80,85
237692,86,82,90,83,91,82,49,79,44,64,84,82
200647,76,74,83,80,73,88,34,65,74,58,87,80
202811,59,57,49,80,49,62,60,40,70,37,66,60
192629,78,86,90,84,72,79,66,69,60,63,81,85
203263,47,53,50,84,41,75,85,82,90,84,70,85
193080,57,58,63,83,43,57,67,43,55,38,61,63
152729,50,64,57,85,35,62,74,63,86,79,72,87
186345,74,73,73,81,77,75,78,87,64,73,80,77
184134,65,67,70,83,62,76,76,82,81,85,76,78
183711,67,66,69,85,68,77,78,86,78,83,80,82
181291,78,76,84,86,88,78,81,93,74,75,79,86
175943,90,80,93,80,92,80,58,66,37,59,84,81
204923,75,81,75,86,80,88,71,85,76,77,83,80
146536,90,84,82,84,84,74,63,82,39,75,83,82
41236,64,66,71,83,53,88,79,52,87,84,84,90
235790,77,86,78,83,75,74,75,77,69,42,81,84
204639,60,67,59,83,45,43,86,53,83,86,55,80
232656,92,94,78,84,75,80,68,90,79,82,74,80
216393,67,59,67,83,77,87,66,81,69,68,87,86
206517,81,79,85,79,84,76,36,80,61,60,85,88
216594,88,79,82,79,91,84,64,79,81,79,83,89
222492,91,89,84,79,79,87,64,68,70,63,82,80
224232,80,76,91,89,90,69,78,95,69,79,83,85
224334,77,76,83,83,90,82,63,90,80,84,82,87
216352,70,68,79,76,84,80,70,94,67,85,80,82
228941,77,71,77,86,75,83,88,79,76,75,74,84
230938,76,79,72,81,79,84,72,94,86,84,76,84
205988,76,81,75,82,77,70,83,80,79,84,81,83
207862,54,69,55,86,49,74,77,75,84,74,72,71
207863,55,66,66,81,52,46,89,68,90,89,50,75
208418,89,88,87,80,73,85,71,80,61,65,77,79
208574,89,88,76,82,79,85,67,90,77,80,81,80
208670,79,77,85,84,78,83,35,79,58,73,89,79
209889,84,67,88,86,90,79,53,79,50,52,85,86
210243,82,83,79,83,82,74,75,84,69,79,76,81
212188,93,89,82,87,76,85,75,83,65,63,68,79
215698,49,51,39,82,55,64,74,39,78,30,60,65
216460,70,73,52,78,40,72,90,60,86,88,46,76
197655,65,70,37,77,31,50,57,80,94,84,60,79
203574,67,73,61,82,59,55,83,77,78,80,67,80
199914,77,68,78,84,86,73,64,92,70,89,77,85
200610,76,70,75,85,83,87,77,90,87,80,82,86
201153,79,85,72,80,63,80,84,77,80,69,77,79
201399,70,68,68,84,75,85,91,67,73,58,72,83
202884,94,91,80,82,69,68,69,81,66,71,72,69
203841,50,47,36,78,42,56,72,37,75,36,45,63
204838,63,80,75,82,65,84,74,82,84,81,78,81
199845,64,62,32,85,35,75,70,87,85,77,65,85
192774,77,84,70,81,60,40,91,69,83,86,22,83
205452,64,84,56,82,50,72,84,69,88,92,59,72
183907,63,80,55,85,52,78,74,60,87,83,78,84
135507,67,52,69,86,77,83,84,66,75,86,66,81
169416,81,80,80,83,83,76,66,69,70,57,81,83
177413,60,61,71,85,70,75,78,76,82,75,79,90
178750,59,54,62,80,58,59,73,41,73,20,46,64
179645,63,71,57,79,53,78,81,65,82,82,55,69
180930,64,67,62,80,55,86,64,74,86,58,74,86
184087,55,60,54,85,62,78,81,76,77,79,62,86
192883,86,85,84,82,83,84,66,88,69,69,84,82
184432,69,63,67,86,73,68,83,77,70,87,72,78
189575,84,78,91,80,94,72,72,77,49,66,84,82
190286,85,82,83,83,79,78,38,80,71,68,89,80
190941,38,44,43,82,39,52,69,34,55,31,53,48
191043,78,83,78,80,77,78,79,83,77,80,70,80
192563,55,56,52,78,44,57,73,43,70,28,56,62
204935,53,44,55,80,55,65,77,45,70,45,69,65
241486,81,81,71,85,74,48,88,76,79,75,62,82
205632,80,82,79,85,61,84,80,91,81,82,79,82
225850,80,81,69,80,60,70,79,81,87,90,64,80
197061,50,65,51,84,42,66,75,69,81,84,72,80
207410,77,65,87,81,84,79,75,79,63,77,84,81
242444,81,83,86,83,79,80,73,75,64,68,82,84
239053,82,90,76,84,68,80,62,86,79,81,80,82
235805,91,91,87,83,81,86,53,85,71,69,75,78
234642,36,33,48,80,27,59,39,35,72,22,44,57
233064,77,71,80,84,76,81,54,86,54,68,83,84
231443,94,93,89,78,80,83,58,68,51,54,76,80
230666,87,82,91,86,87,82,79,79,69,73,77,79
230658,71,67,85,84,90,76,69,79,66,70,80,88
230481,90,87,86,84,71,82,69,88,68,62,83,81
229880,82,88,84,83,72,70,67,81,72,78,66,76
228618,91,92,81,82,78,69,79,89,83,82,75,78
193082,91,89,94,82,81,84,80,78,66,78,72,74
225193,73,75,76,84,72,84,81,84,79,81,83,80
215333,78,81,67,82,58,86,80,75,93,72,66,82
223697,79,84,71,86,66,76,88,89,76,80,60,77
213565,84,80,88,81,82,79,69,76,55,63,83,79
213648,58,61,65,82,64,84,65,88,78,87,73,82
214997,86,85,90,84,87,83,49,82,71,79,84,76
209989,63,74,75,82,50,86,83,83,84,84,85,86
216354,76,67,84,84,86,84,72,76,68,73,74,83
220651,85,73,83,82,85,80,73,85,60,77,79,81
220814,77,77,70,85,68,62,86,76,77,88,63,76
220834,83,81,80,78,75,86,58,76,63,45,81,82
223689,59,66,62,85,44,86,79,83,89,85,67,83
211688,81,85,82,84,78,62,53,87,66,76,75,76
234396,96,96,85,81,82,71,77,79,72,77,68,74
230869,46,48,32,72,47,57,63,45,76,27,44,42
231943,85,81,79,82,73,83,86,83,77,84,74,81
232488,80,73,72,81,68,51,86,83,82,89,43,78
233096,76,84,68,80,60,66,92,94,89,83,58,73
233419,90,91,88,82,79,81,74,84,64,76,77,78
233731,82,85,79,81,66,84,71,70,75,52,76,77
241461,87,78,82,81,76,79,75,73,70,45,84,82
234943,72,57,80,82,78,75,54,81,65,60,84,78
235410,74,81,68,80,47,83,83,76,76,76,52,74
235569,73,69,84,81,91,80,60,69,74,73,87,87
236792,61,66,66,81,58,73,90,92,84,76,72,78
240130,81,84,69,83,63,62,86,85,80,82,59,74
230168,41,42,34,82,41,58,67,29,79,34,51,67
241464,69,74,69,80,52,58,78,80,80,79,67,73
241671,57,54,65,80,30,56,61,32,75,26,60,64
244260,77,58,86,83,86,79,55,80,54,51,83,82
230375,80,76,76,85,57,53,73,77,76,88,42,71
227796,91,87,87,78,88,77,79,76,54,45,80,80
229984,77,75,70,80,72,72,86,88,69,73,73,74
220697,78,72,86,76,83,83,54,74,51,68,87,84
212190,48,79,33,79,32,77,39,63,93,85,57,75
212462,81,84,75,81,70,87,81,85,65,76,78,77
212523,84,76,87,78,75,84,65,82,75,67,79,77
212616,81,76,78,81,79,80,67,86,81,69,80,80
216547,93,94,90,83,89,75,64,77,40,47,78,81
219693,77,77,68,84,53,73,82,73,87,85,63,75
220018,83,88,74,85,71,85,66,81,80,84,74,75
120533,79,81,62,81,48,63,89,82,86,94,48,80
222077,62,60,69,83,60,77,65,89,78,72,82,77
229906,93,93,86,80,84,79,77,75,61,55,80,75
222665,80,75,85,74,83,76,46,78,56,63,86,76
224293,64,54,68,80,73,86,67,79,67,83,86,84
224458,88,81,87,84,86,84,76,81,71,85,75,83
225100,75,85,63,82,65,41,76,67,83,81,60,74
226271,67,60,71,82,67,77,46,87,67,68,82,77
229391,57,62,60,77,44,76,81,87,88,89,71,82
229558,70,90,60,77,66,60,87,65,88,83,58,71
229668,73,79,74,82,63,65,82,77,81,83,66,79
220440,73,74,61,79,58,58,84,75,80,77,66,82
190460,63,62,72,79,81,84,49,59,52,46,86,87
157481,48,34,49,82,53,65,76,51,80,81,64,75
205070,89,90,83,81,82,82,75,88,74,82,79,77
199110,87,90,85,84,88,81,60,73,72,50,78,82
199482,63,64,67,82,62,53,82,36,73,45,48,65
199823,70,66,74,80,80,76,61,82,71,63,86,83
201305,68,70,66,81,63,61,83,81,82,87,65,69
201519,84,72,76,79,81,83,74,85,79,84,74,82
202651,78,75,80,78,82,78,50,72,54,38,83,77
203486,84,76,91,81,88,77,60,78,65,57,82,78
205069,82,82,86,81,88,67,75,79,58,75,77,78
208128,72,62,83,78,77,80,45,75,49,57,86,78
197781,70,62,81,75,90,69,60,59,59,58,81,83
208333,67,87,72,81,75,85,87,88,86,88,79,79
208421,69,72,73,80,68,82,80,86,77,76,81,81
208461,64,68,61,82,73,76,80,92,77,85,69,81
209981,37,34,47,80,29,57,48,43,69,25,60,57
210035,86,87,84,83,86,79,64,90,63,69,78,83
210413,66,69,55,80,53,64,79,70,79,84,45,76
210935,81,77,90,77,82,83,65,70,63,85,81,78
211256,79,81,77,81,81,65,90,89,75,84,69,77
198717,88,90,87,76,79,82,58,75,77,72,76,80
194404,56,52,59,78,49,59,83,41,63,40,42,64
164835,50,47,53,75,44,53,69,25,65,43,52,63
188152,82,74,87,78,86,80,76,84,60,60,78,79
168435,46,46,52,78,55,57,68,34,66,34,55,62
168651,59,56,69,80,59,84,33,74,71,67,84,80
173731,80,83,78,78,64,90,84,61,76,64,79,85
178005,53,57,61,76,54,58,79,45,77,37,64,66
178562,63,61,76,82,80,77,49,74,67,83,85,80
180206,67,64,74,83,80,78,59,79,60,70,84,84
183512,81,84,80,80,78,82,86,85,79,85,71,78
187072,63,59,70,84,79,85,72,75,72,74,84,83
188943,45,52,42,82,37,59,75,45,73,30,46,62
193698,47,51,45,82,43,59,73,39,69,32,41,52
189242,74,65,89,80,92,82,58,74,52,59,82,79
190815,48,43,72,83,72,74,76,76,72,67,83,84
192318,69,67,76,82,83,75,58,75,71,59,86,87
193105,56,54,58,78,58,57,72,38,80,26,51,64
193165,86,81,91,84,87,66,71,88,39,73,83,87
193301,77,73,81,82,82,87,76,66,75,73,75,80
193474,70,69,79,81,83,82,86,85,69,83,70,79
193525,79,83,79,80,61,71,84,87,75,77,73,76
211515,46,48,56,77,52,57,52,40,68,19,30,63
234378,64,69,53,77,61,70,74,85,78,82,75,80
200888,60,67,54,75,60,74,77,85,89,80,72,78
235374,93,92,89,78,89,53,39,86,56,66,74,76
209297,81,74,88,86,87,77,80,93,52,87,73,79
208618,83,82,81,81,81,80,69,91,57,72,79,75
208596,74,78,75,81,77,81,83,78,85,83,61,81
208448,72,68,78,83,82,71,53,69,59,61,84,79
251854,81,76,88,81,89,62,65,86,53,59,86,84
251573,85,83,85,80,81,76,77,84,70,78,73,79
247394,85,83,77,80,73,74,66,85,77,67,78,83
247263,74,75,67,77,65,74,78,75,81,80,66,80
245279,84,87,75,77,74,72,64,77,65,76,73,74
241852,96,92,92,77,93,73,62,70,44,51,76,75
240950,77,76,83,84,87,81,43,85,58,64,81,86
239231,78,80,78,82,83,73,77,88,66,76,78,74
238074,78,81,72,75,85,75,73,79,83,74,70,72
208330,83,75,84,79,75,74,61,70,58,41,81,78
210385,31,30,34,71,24,56,62,27,66,19,50,49
207439,67,66,71,78,75,88,66,79,77,89,84,84
206511,65,65,68,83,67,88,61,78,73,77,78,79
205678,88,87,89,74,91,80,71,84,58,52,78,81
205659,41,37,37,75,43,55,74,43,55,33,42,59
205569,66,54,75,75,76,82,65,91,64,73,82,77
205175,60,68,66,76,63,86,65,63,78,67,64,78
204638,50,49,48,75,56,37,91,68,85,80,44,72
204525,69,72,68,80,61,81,91,71,79,84,55,69
204311,54,74,52,78,52,63,91,67,93,84,60,69
204120,42,37,43,78,56,56,73,38,73,29,68,60
203551,79,74,86,77,82,82,73,82,50,66,81,81
202695,50,62,55,79,53,63,85,71,84,85,65,78
201095,55,52,68,81,60,57,75,38,59,45,65,64
210008,70,81,69,82,69,86,73,86,80,69,76,80
210406,83,79,85,79,79,79,52,75,57,56,84,75
230225,68,74,61,78,63,74,91,76,79,86,50,70
221992,92,93,89,81,82,76,67,76,54,64,74,75
230258,75,78,72,80,77,60,40,91,56,75,77,81
230294,74,82,60,84,47,85,85,52,82,65,58,79
230347,78,80,83,80,81,55,71,89,68,69,75,82
228251,77,79,79,79,86,76,70,88,74,72,84,82
227950,64,71,54,80,74,69,90,69,77,83,48,78
227127,40,46,69,74,40,60,66,42,73,34,35,55
226226,76,75,83,82,80,82,57,76,70,82,83,80
226166,77,82,67,77,65,67,90,79,79,83,64,73
226110,88,88,88,77,79,81,66,77,68,43,76,77
225375,82,81,76,79,74,72,73,88,69,85,76,79
224411,85,87,84,79,75,84,63,74,68,64,76,78
224081,69,66,72,76,72,75,82,85,78,86,74,78
223952,49,34,49,80,42,54,61,43,75,24,45,58
221479,76,89,72,81,65,79,91,80,83,78,64,76
210411,80,76,85,82,82,73,45,80,60,77,82,81
221363,67,69,75,81,69,83,71,84,74,76,79,84
220407,48,44,47,75,60,60,74,38,60,28,55,59
220093,80,87,68,79,74,72,74,86,75,79,69,77
217940,69,69,70,82,67,67,79,73,78,88,42,73
216475,87,86,80,80,83,82,63,78,67,58,76,84
216409,84,82,89,81,87,78,51,77,41,63,77,79
216201,93,94,78,82,62,85,88,83,82,75,73,81
215330,81,87,83,80,67,79,63,76,74,48,78,73
214979,46,42,32,71,39,55,51,35,70,27,48,67
212194,77,69,84,79,83,81,62,80,71,38,82,81
211990,42,44,67,82,38,50,74,39,68,32,46,56
211300,87,87,82,79,79,83,73,68,74,54,77,78
210463,90,86,92,75,93,84,81,71,68,72,75,79
200949,93,88,93,79,92,85,95,75,57,78,70,81
230256,92,93,81,82,78,73,75,91,73,69,64,74
200724,71,84,65,78,74,54,83,81,79,79,53,75
234906,76,74,83,79,83,72,66,75,67,69,83,82
163705,53,43,52,80,36,59,69,31,61,37,55,62
167664,57,59,64,80,67,85,72,56,86,50,75,84
171791,32,32,43,83,51,60,74,57,84,83,63,79
172871,74,78,56,81,60,80,89,72,80,80,66,81
176266,57,55,71,80,80,75,81,66,65,82,77,86
178086,56,54,55,76,51,59,71,32,77,41,42,63
181458,82,81,81,79,78,84,85,75,76,65,74,80
181872,66,65,81,81,77,84,82,78,80,92,80,80
183574,65,64,73,84,77,81,65,59,73,58,85,87
184200,78,80,70,78,80,84,78,77,87,77,81,79
187754,77,80,85,75,84,77,66,70,72,58,82,84
190674,65,69,72,79,73,69,93,93,79,87,75,78
192366,60,65,58,79,58,69,88,75,80,90,53,79
234742,85,86,81,82,79,80,59,73,64,48,79,75
200454,79,76,83,85,81,82,67,60,63,57,67,84
234153,75,80,75,83,73,77,58,85,70,65,82,76
233927,73,76,77,83,79,77,79,84,75,78,83,86
232411,81,78,85,78,83,79,59,74,63,59,81,79
231969,73,74,69,77,73,90,74,81,79,78,84,75
230430,77,76,75,82,66,79,81,72,87,62,70,78
193283,77,74,73,79,72,78,91,87,77,85,72,78
193314,58,53,70,80,48,50,80,42,48,15,48,55
193983,81,87,73,78,74,89,85,83,87,80,77,79
195365,79,62,90,82,82,69,67,86,47,66,82,84
195859,82,76,77,86,77,83,79,74,69,67,72,85
197965,78,73,77,83,77,76,67,78,59,67,83,84
198164,85,79,92,77,75,70,62,79,67,63,82,77
198710,55,51,78,83,76,86,46,55,64,60,84,87
163489,48,34,57,75,40,54,80,31,51,11,46,63
156519,71,70,73,81,68,81,77,93,80,84,78,77
153244,71,66,66,78,61,84,74,72,91,83,75,80
124375,78,79,72,87,48,88,68,71,81,85,70,83
45186,65,70,69,84,69,80,31,42,64,55,85,81
200260,83,78,85,77,75,82,56,77,59,70,82,80
199987,56,50,48,80,50,59,71,40,67,25,60,61
199564,73,79,69,78,73,65,42,92,69,67,82,76
199304,67,77,62,80,65,84,75,77,80,78,64,78
139068,77,65,85,81,77,85,32,67,68,76,81,84
213661,60,69,61,79,60,31,75,68,73,73,62,76
209519,75,79,71,78,63,78,88,88,83,72,78,80
209960,48,42,62,77,53,53,73,43,75,29,53,62
210455,76,74,71,78,80,68,76,78,59,82,68,74
211117,67,68,76,80,66,78,71,80,75,70,82,85
212151,41,46,45,78,47,56,56,23,66,20,49,61
212187,80,83,76,79,74,82,71,89,69,73,73,76
212814,71,68,80,75,77,76,62,80,65,60,82,86
215223,48,48,47,75,45,54,62,40,80,28,46,62
214584,41,45,37,77,39,50,67,35,81,45,55,55
215316,56,52,58,76,50,59,65,42,73,26,58,61
217870,85,83,78,76,78,72,83,89,75,74,64,72
219683,69,64,75,82,76,85,83,77,76,83,80,75
219953,84,83,83,77,82,84,63,84,66,76,77,76
220182,82,83,69,80,62,57,82,81,83,76,67,79
220971,77,65,88,80,90,76,52,73,59,78,80,81
221087,45,52,40,74,57,54,71,42,52,39,62,62
221660,61,65,62,83,60,72,77,77,76,83,72,83
222331,81,89,63,81,60,58,82,82,76,72,55,68
222716,87,86,89,79,84,77,61,80,60,43,75,79
223724,79,78,76,77,78,73,69,92,72,88,60,75
198141,71,74,70,82,71,73,88,69,74,77,76,76
201143,67,65,73,79,64,52,80,65,78,76,71,78
208808,87,88,85,82,78,81,79,81,64,65,81,79
171877,69,67,76,77,72,82,73,76,75,60,83,84
231447,90,90,84,81,83,79,77,79,75,62,77,76
1179,37,30,55,78,49,53,69,34,65,38,50,70
140233,47,50,65,74,42,53,75,34,56,19,48,62
148119,51,50,53,71,45,59,62,35,72,24,59,67
162347,55,45,75,75,85,77,69,75,57,74,83,89
169588,51,53,45,82,57,42,80,67,80,82,57,81
171579,45,37,54,83,61,85,92,75,86,84,83,85
172522,73,75,73,80,71,85,68,87,73,74,78,77
183855,50,61,52,77,51,68,81,64,81,78,55,75
173426,50,52,34,74,52,57,69,31,72,34,43,61
176676,74,73,80,77,78,81,74,67,70,77,78,79
177388,71,68,81,75,73,80,40,69,72,57,83,74
177509,65,62,59,77,53,66,80,69,88,85,47,82
177604,62,68,69,82,69,74,74,69,64,77,71,76
178518,70,71,69,80,83,93,74,69,84,85,81,83
182493,59,55,57,74,53,67,89,67,82,81,52,78
232119,69,81,64,77,57,65,76,70,82,89,55,76
232293,83,92,77,78,68,78,88,80,82,76,65,72
233195,74,64,78,81,77,78,63,85,80,85,78,74
233306,51,48,61,79,56,59,63,34,60,20,48,56
246669,86,82,83,76,83,68,54,77,58,66,79,73
244470,76,77,74,78,84,66,84,87,76,86,69,72
244369,84,85,82,78,73,70,50,74,49,57,80,76
243576,76,83,78,78,71,81,59,83,73,74,68,78
241095,82,83,78,78,88,80,55,80,69,68,82,77
241084,92,92,86,79,71,82,72,83,66,66,72,81
240900,68,75,35,78,60,39,79,67,79,78,30,62
240709,83,85,82,78,87,77,73,91,73,74,75,76
239207,66,66,67,80,57,81,83,79,87,74,70,82
238794,95,95,94,75,81,73,75,80,62,58,73,75
237383,62,68,58,78,57,49,71,81,81,80,57,77
237238,62,69,66,79,60,85,73,84,84,88,75,78
236987,74,74,66,73,67,66,74,78,76,83,74,81
236583,35,37,39,80,27,45,36,20,68,22,25,39
236401,81,83,86,77,67,67,69,82,66,69,76,76
182494,60,62,68,78,62,54,84,40,68,32,62,60
184941,80,76,84,79,87,80,85,68,68,64,80,75
207877,85,89,90,79,89,84,91,60,69,66,58,75
204399,76,78,80,81,77,80,85,77,76,58,78,75
201922,65,74,63,76,63,83,86,76,83,81,65,78
202024,68,69,69,83,62,73,55,87,69,72,79,83
202166,76,73,80,78,74,80,77,68,67,56,81,82
202325,64,52,82,78,88,62,79,91,66,82,74,75
203890,77,81,66,74,70,75,84,85,73,75,68,67
203895,69,61,77,80,85,75,61,82,60,59,84,83
203980,74,76,79,77,69,76,69,76,68,65,79,80
204970,82,76,85,82,68,82,76,79,67,56,78,76
185020,76,78,84,70,80,78,68,73,53,54,78,79
205600,64,65,58,78,64,83,81,64,84,80,58,74
205686,70,65,86,77,90,77,36,78,63,83,84,83
205693,58,73,67,80,52,81,82,69,91,70,75,81
205705,53,68,47,74,34,67,75,65,80,86,47,69
205849,43,46,34,73,43,62,57,45,62,24,53,44
207599,52,58,52,77,59,58,85,68,86,77,60,72
207732,76,77,73,83,75,83,73,78,74,69,61,80
201400,74,68,83,77,80,80,75,66,67,70,82,82
223959,76,72,86,77,90,78,52,84,68,86,74,78
201119,84,80,72,81,82,75,59,86,75,63,71,79
199254,74,71,72,85,74,77,82,75,74,69,80,81
186561,63,69,73,76,80,80,63,65,66,68,82,80
187598,65,67,61,83,66,75,76,80,79,82,50,86
189117,44,50,49,78,52,45,74,36,76,35,50,58
189271,68,68,74,81,77,75,78,75,78,88,80,78
189690,51,52,63,74,48,58,68,41,62,24,52,62
190972,87,84,85,76,78,79,81,75,63,68,74,84
193061,79,74,76,80,76,72,68,87,68,70,79,78
196432,70,66,76,80,70,75,72,73,78,87,79,80
197225,76,72,82,80,80,72,66,88,68,69,82,81
197242,67,69,59,80,53,82,74,78,83,80,69,80
198009,57,56,70,77,30,53,75,30,52,25,44,65
198031,62,55,69,79,68,88,58,76,66,76,81,81
198950,73,72,78,79,80,75,31,71,59,49,83,76
198951,91,90,83,81,72,81,84,80,77,72,73,75
199042,68,63,79,81,86,78,61,80,64,84,79,73
223816,90,87,91,80,72,80,74,84,76,68,68,72
216189,81,83,81,74,86,83,81,93,86,86,75,78
224179,61,69,60,76,73,83,70,71,90,69,71,80
230201,81,72,83,81,71,52,55,85,68,62,61,54
227290,39,35,32,76,37,59,50,45,79,20,45,59
227813,75,71,78,78,78,77,72,76,63,74,78,80
227928,81,83,87,79,79,74,81,84,67,81,62,79
229237,77,84,69,81,65,75,83,72,80,74,65,76
229261,79,86,67,82,64,73,66,81,87,85,73,83
229582,59,65,34,80,57,51,87,86,83,85,51,72
229857,71,64,81,73,91,69,68,65,50,71,86,78
229927,73,74,79,84,81,69,68,77,76,81,77,78
224309,59,66,67,77,58,80,55,81,74,80,82,77
230271,87,75,85,80,89,67,43,67,35,41,80,77
230313,65,69,55,74,67,61,90,81,91,76,43,72
230767,86,83,85,80,89,89,84,87,83,84,79,83
226754,80,67,86,81,88,74,78,79,66,81,81,79
226491,86,83,76,76,77,79,80,86,74,84,73,74
225953,87,84,79,78,89,84,68,74,75,50,77,76
225201,86,81,85,79,85,77,73,74,56,72,78,78
225085,89,89,83,76,84,78,73,82,64,62,77,78
230204,43,39,42,77,48,59,70,30,64,36,70,41
230498,86,80,82,85,73,75,87,79,63,43,75,73
192123,60,68,55,77,59,81,79,76,86,77,64,77
191202,33,39,47,80,47,84,63,54,82,76,68,83
191740,68,62,75,80,76,78,63,81,70,82,79,82
192064,82,83,74,76,81,78,78,76,73,62,77,78
