ID,Positions,BestPosition,ClubPosition,NationalPosition
239053,CM,CM,SUB,
235805,RW LW RM,CAM,LM,RW
234642,GK,GK,GK,
233064,CAM CM RW,CAM,RW,CM
231443,RW,LM,RW,
230666,ST,ST,SUB,
230658,CM,CM,RES,
230481,CAM RM,RM,CAM,RW
229880,RB,RWB,RB,
228618,LB,LWB,SUB,
193082,RB RM,RB,RM,
225193,CM,CM,CM,
215333,ST,ST,ST,
223697,LWB LB LM,LWB,LM,SUB
213565,LM CM RM,CAM,CM,SUB
213648,CDM CM,CDM,CM,CM
214997,ST RM,CAM,SUB,SUB
209989,CM CDM,CM,CDM,
216354,ST CAM,ST,CAM,
220651,LWB LM,LM,LB,
220814,LB CB,CB,SUB,LB
220834,RW LW,CAM,SUB,
223689,ST,ST,ST,SUB
211688,LB LWB LM,LWB,LB,SUB
234396,LB LM,LB,LB,LM
230869,GK,GK,GK,GK
231943,ST LW LM,ST,LM,
232488,CB,CB,SUB,CB
233096,RB,RB,SUB,RB
233419,RM RW,LM,RM,
233731,ST,ST,ST,ST
241461,RW ST,CAM,ST,RW
234943,CM,CM,CDM,SUB
235410,ST LW,ST,ST,
235569,CAM CM CDM,CAM,SUB,
236792,CDM CM,CDM,CDM,CDM
240130,CB,CB,CB,
230168,GK,GK,GK,GK
241464,CB,CB,SUB,SUB
241671,GK,GK,GK,
244260,CAM CF,CAM,CAM,LW
230375,CB,CB,CB,CB
227796,LW RW LM,RM,SUB,LW
229984,LWB LB,LWB,SUB,
220697,CAM CM,CAM,CAM,
212190,CB RB,CB,CB,CB
212462,LB,LB,SUB,
212523,CF ST CAM,CAM,CAM,
212616,CM CF,CM,SUB,CM
216547,RM CF LM,RM,RW,RW
219693,CB,CB,CB,
220018,LM ST,LM,LM,
120533,CB,CB,CB,CB
222077,CDM CM,CM,CDM,SUB
229906,RM RW LW,LM,SUB,
222665,CAM CM,CAM,CAM,RM
224293,CM,CM,CM,SUB
224458,LW ST,ST,SUB,LW
225100,CB,CB,SUB,
226271,CM,CM,CDM,SUB
229391,CDM CM,CB,CM,CDM
229558,CB,CB,CB,
229668,CB LB,CB,CB,
220440,CB,CB,SUB,SUB
190460,CM CAM,CM,RES,SUB
157481,CB,CB,CB,
205070,RW RM LW,RW,SUB,
199110,ST,ST,RES,
199482,GK,GK,GK,SUB
199823,CM LM RM,CM,CM,
201305,CB,CB,CB,
201519,CDM CM,CDM,CDM,SUB
202651,RW,RW,RW,
203486,LM CF,LM,SUB,LM
205069,LB,LB,LB,
208128,CAM LM,CAM,CM,
197781,CAM CM LW,CAM,SUB,
208333,CM CB CDM,CDM,SUB,
208421,CM LM,CM,SUB,
208461,CDM CM,CDM,CM,SUB
209981,GK,GK,GK,
210035,LB LM LWB,CM,LWB,
210413,CB,CB,SUB,
210935,RW RM,RW,RM,SUB
211256,LB,LB,SUB,SUB
198717,CF LM ST,CF,LW,
194404,GK,GK,SUB,
164835,GK,GK,GK,
188152,CAM CM LW,CAM,CAM,
168435,GK,GK,GK,SUB
168651,CM,CM,SUB,
173731,RM RW,RM,SUB,RM
178005,GK,GK,GK,GK
178562,CDM CM,CDM,CAM,
180206,CM CDM,CM,CM,
183512,LB,LB,SUB,
187072,CAM ST,CAM,CAM,
188943,GK,GK,GK,SUB
193698,GK,GK,GK,
189242,CAM LW CM,CAM,SUB,
190815,CB CDM LB,CB,LB,LB
192318,CAM CM,CAM,CAM,
193105,GK,GK,SUB,
193165,RM RB RW,RM,SUB,RW
193301,ST,ST,SUB,
193474,CDM CM,CDM,CM,
193525,RB,RB,RB,
211515,GK,GK,SUB,
234378,CDM CM,CDM,CDM,CDM
200888,CDM CM,CDM,SUB,SUB
235374,RWB,RWB,RB,
209297,CDM CM,CDM,CDM,
208618,RW RB RM,RW,SUB,
208596,ST,ST,ST,
208448,CAM CF,CAM,SUB,LM
251854,CM,CAM,CM,CM
251573,LB,LWB,SUB,
247394,RW CF,LM,SUB,ST
247263,CB,CB,RES,
245279,LB,LB,LB,
241852,LW RM LM,LM,LM,SUB
240950,RW CM,CAM,RW,
239231,LM LB,LM,SUB,
238074,RWB RB,RWB,RWB,
208330,RW RM,RW,RW,
210385,GK,GK,GK,SUB
207439,CDM CM,CM,SUB,CDM
206511,CDM CM,CM,CDM,
205678,RM RW,RM,RM,
205659,GK,GK,GK,
205569,CM,CM,CM,
205175,ST,ST,ST,
204638,CB,CB,CB,CB
204525,CB,CB,CB,
204311,CB,CB,SUB,SUB
204120,GK,GK,GK,GK
203551,RB RWB,RB,SUB,
202695,CB,CB,CB,
201095,GK,GK,GK,
210008,CM CDM,CM,CDM,CM
210406,CM CAM,CAM,CM,ST
230225,CB CDM,CB,CB,CB
221992,RW LW,RW,SUB,LW
230258,CDM CM CAM,CDM,CDM,CDM
230294,ST CF,ST,ST,SUB
230347,LB LM,LB,LB,CM
228251,CAM CM CDM,CAM,CAM,
227950,CB,CB,CB,
227127,GK,GK,GK,
226226,CM CAM,CAM,SUB,CM
226166,RWB CB RM,CB,RB,
226110,RM RW,RM,RM,
225375,CDM CM RB,RWB,CDM,CDM
224411,LM ST CF,LM,ST,
224081,CDM CM CB,CDM,CDM,CM
223952,GK,GK,GK,
221479,ST,ST,ST,SUB
210411,LM RM CM,LM,RM,SUB
221363,CM CAM CDM,CM,SUB,
220407,GK,GK,SUB,
220093,RWB RB RM,RWB,RES,
217940,CB,CB,CB,
216475,ST LM,ST,ST,
216409,RM RW,RM,RW,
216201,ST RW,ST,ST,
215330,CF ST CAM,CAM,SUB,SUB
214979,GK,GK,GK,SUB
212194,CAM CM CF,CAM,CM,
211990,GK,GK,GK,GK
211300,ST LM,CAM,SUB,SUB
210463,LM RM ST,LM,RM,
200949,RM CF,RM,RW,
230256,LWB LB,LWB,LB,LB
200724,CB RB LB,CB,CB,
234906,CAM LM CM,CAM,LM,
163705,GK,GK,SUB,SUB
167664,ST,ST,ST,
171791,CB,CB,CB,
172871,CB,CB,CB,CB
176266,CDM,CDM,CDM,
178086,GK,GK,GK,
181458,LM LW LWB,LM,LM,
181872,CM,CM,SUB,
183574,CF CAM,CF,ST,
184200,ST,ST,ST,ST
187754,CAM RM,CAM,RM,SUB
190674,CDM CM,CDM,CM,
192366,CB,CB,CB,CB
234742,LM LW,CAM,LM,
200454,ST,ST,SUB,
234153,CM RM LM,CAM,RM,
233927,CAM CM,CAM,CAM,
232411,CAM CM CF,CAM,CAM,
231969,CF CM,CF,RF,LW
230430,ST,ST,ST,ST
193283,CDM CM,CB,SUB,CM
193314,GK,GK,GK,
193983,ST,ST,ST,
195365,CM CDM,CM,CDM,
195859,ST,ST,ST,
197965,CM RM,CM,SUB,
198164,CAM,CAM,CAM,
198710,RW CAM CM,CAM,SUB,
163489,GK,GK,GK,
156519,CM,CM,SUB,SUB
153244,ST CF,ST,ST,
124375,ST,ST,ST,
45186,RM LM,CAM,RM,
200260,RW,RW,CAM,RW
199987,GK,GK,SUB,
199564,RB CM RM,RB,SUB,
199304,RB LB CB,RB,RB,
139068,LW LM,LW,ST,
213661,CB,CB,SUB,CB
209519,ST RM,ST,ST,
209960,GK,GK,GK,
210455,LWB RWB,LWB,SUB,
211117,CAM CM,CAM,CM,
212151,GK,GK,SUB,
212187,LB,LB,LB,
212814,CM,CM,CM,SUB
215223,GK,GK,GK,
214584,GK,GK,GK,SUB
215316,GK,GK,GK,
217870,RB,RB,RB,RB
219683,CM CDM,CM,SUB,
219953,RM LM,RM,RM,
220182,CB,CB,CB,CB
220971,CM,CAM,SUB,
221087,GK,GK,GK,
221660,CB,CDM,SUB,CB
222331,CB RB RWB,RB,SUB,SUB
222716,LM RM,CAM,LW,
223724,RB,RB,SUB,
198141,CB CDM,CB,CB,
201143,CB,CB,CB,
208808,CAM LW,RM,LM,
171877,CM CDM CAM,CM,CM,
231447,ST,ST,ST,SUB
1179,GK,GK,GK,
140233,GK,GK,GK,GK
148119,GK,GK,GK,
162347,CM,CM,CM,SUB
169588,CB,CB,SUB,CB
171579,ST CAM,CM,ST,
172522,CM RM RB,CM,CM,RWB
183855,CB,CB,CB,
173426,GK,GK,GK,SUB
176676,LB,CAM,SUB,
177388,LW CAM,LW,CAM,
177509,CB,CB,CB,
177604,LB,LB,SUB,
178518,CAM CM CF,CAM,CM,
182493,CB,CB,CB,
232119,CB,CB,CB,
232293,ST,ST,ST,
233195,CDM CM,CDM,SUB,SUB
233306,GK,GK,SUB,SUB
246669,RM LM,LM,LM,SUB
244470,RB RWB,RB,RB,RB
244369,RM,CAM,RM,SUB
243576,RWB RM,RWB,RWB,
241095,CAM,CAM,SUB,
241084,LM,RM,LM,
240900,CB,CB,SUB,
240709,RM RB CM,RM,RM,
239207,ST,ST,ST,
238794,LW,RM,LW,
237383,CB,CB,CB,SUB
237238,CDM CM,CDM,SUB,CM
236987,CDM CB,CDM,CDM,
236583,GK,GK,SUB,
236401,RB,RB,RB,
182494,GK,GK,GK,
184941,CF ST,CF,SUB,
207877,ST,ST,ST,
204399,ST,ST,ST,
201922,CB,CB,CB,CB
202024,CM,CM,CM,
202166,CAM LW CM,CAM,SUB,
202325,CDM CM,CDM,RES,
203890,RB RM,RB,SUB,
203895,CAM ST,CAM,CAM,
203980,CAM LW RW,CAM,RES,
204970,RW RM,RW,RM,
185020,RM RW,RM,SUB,
205600,CB,CB,SUB,
205686,CAM CM,CAM,CAM,
205693,ST,ST,ST,
205705,CB,CB,CB,
205849,GK,GK,GK,
207599,CB,CB,CB,
207732,ST,ST,ST,
201400,CM CAM,CM,SUB,
223959,CDM CM,CDM,CM,
201119,LB,LB,LB,
199254,CF ST CAM,CF,ST,
186561,CM CAM LM,CM,SUB,CAM
187598,CB,CB,CB,SUB
189117,GK,GK,RES,
189271,CM CDM RM,CM,SUB,
189690,GK,GK,GK,
190972,RM RW,RM,SUB,
193061,CM LM CF,CM,CM,
196432,CDM CM,CDM,CDM,
197225,CAM,CAM,LF,
197242,CDM CM,CDM,,CDM
198009,GK,GK,SUB,
198031,CM,CM,CM,
198950,RW CAM,CAM,SUB,
198951,ST,ST,ST,
199042,CDM CM,CDM,CDM,
223816,ST LW,ST,ST,
216189,RB,RB,SUB,
224179,ST,ST,ST,
230201,RB RM,RB,RB,RB
227290,GK,GK,SUB,
227813,LB CDM,LB,SUB,CM
227928,RWB RB,RWB,RWB,SUB
229237,CB,CB,CB,
229261,CDM CB,CB,SUB,
229582,CB CDM,CB,CB,
229857,CM CDM,CM,SUB,
229927,CM,CDM,LM,
224309,CM CDM,CM,CM,
230271,CAM LM LW,CAM,LM,SUB
230313,CB,CB,CB,SUB
230767,CM RM,CAM,CM,
226754,CM CDM,CM,CDM,
226491,LB CB LWB,LWB,LB,CB
225953,LM LW RM,CAM,SUB,SUB
225201,RM LM,RM,RM,
225085,LM,RM,LM,
230204,GK,GK,GK,SUB
230498,ST,CF,ST,SUB
192123,ST,ST,ST,ST
191202,CDM,CDM,SUB,
191740,CM CDM,CDM,CM,
192064,ST RW CAM,CF,CAM,
192906,ST CF,CAM,CF,
192598,ST,ST,ST,ST
192638,LWB LB,LWB,LWB,
192789,RB,RB,RB,
190745,GK,GK,GK,
190813,LW LM,LW,SUB,
189615,LB CB,LB,LB,
190717,ST,ST,ST,
190584,CDM CM,CDM,SUB,
189805,ST,ST,SUB,
189682,CB,CB,CB,
193348,RM RW,RM,RM,
189560,CDM CM,CDM,SUB,
188042,ST LW,CAM,ST,
188041,CDM CM,CDM,CDM,
187052,CDM CM CB,CDM,CM,
186682,CDM CM CAM,CDM,SUB,
193198,CDM CM CB,CDM,SUB,
198230,CB,CB,CB,
194209,ST,ST,ST,
202048,CB,CDM,CB,
204024,CDM,CDM,CDM,
203483,CAM CM,CAM,SUB,CM
203299,RM,RM,RM,
202935,CB,CB,SUB,
202857,RW RM,RW,RM,
202750,CB,CB,SUB,
202648,CM CDM,CM,CM,
202477,LM CF,LM,CF,
202335,CB CDM,CB,CB,
201455,CM CDM,CM,CDM,
194333,GK,GK,GK,
200726,GK,GK,SUB,
200315,LM RM,LM,SUB,
199503,CDM CM,CDM,CDM,
199354,ST,ST,ST,
198946,CB RB,CB,SUB,
198784,CM,CAM,SUB,
198329,CAM ST CM,LW,SUB,
178509,ST,ST,ST,
196978,ST,ST,ST,
184484,CAM CM,CAM,RES,SUB
170890,CDM CM,CDM,CDM,
176919,GK,GK,GK,
226300,GK,GK,GK,
223597,RB,RB,SUB,
224031,RB RWB CB,RB,SUB,
224196,LB CB,CB,LB,
224490,RB,RB,RB,
225116,GK,GK,SUB,SUB
225508,CB,CB,SUB,
225663,CM CAM CF,RM,LF,CDM
226162,RM RW,CAM,SUB,
226221,CB RB,CB,CB,
226456,LM RM CAM,CM,LM,
223249,GK,GK,GK,
226851,RB CB,RB,RB,
228093,LM ST,ST,LM,
228520,ST RM,ST,SUB,
228687,ST,ST,SUB,ST
230184,LB LM,LB,LB,
230216,RB,RB,RB,SUB
230234,CDM CM,CDM,CDM,CM
230251,CDM,CB,CDM,
230312,GK,GK,GK,SUB
223578,ST,ST,SUB,
222501,RB RM,RB,SUB,SUB
176635,CAM CF,CAM,RF,
216150,RWB RM LM,RWB,RM,
176550,GK,GK,GK,
173221,RM RWB,RM,RM,
162240,CM CAM CDM,CM,CM,
159145,ST,ST,ST,
158121,GK,GK,GK,
156616,CF LW,CAM,CAM,
213516,CF LW,CAM,LF,
204234,GK,GK,SUB,
216145,CB,CB,SUB,
216388,LM ST,CAM,ST,
222028,CM CDM,CDM,SUB,
216531,ST,ST,ST,
218339,CM CDM,CM,SUB,SUB
219789,RB,RB,RB,
219809,CDM CM,CDM,RES,
220253,LW RW ST,CAM,SUB,
220523,CB,CB,CB,
220673,CDM CM,CB,CDM,
220793,CB,CB,CB,
221491,CB,CB,CB,
214047,CM CDM,CM,CM,
204538,ST,ST,ST,
204259,RB,RB,RB,
210513,CAM,CAM,RM,
251809,CB,CB,CB,
252371,CM LM,CM,CM,SUB
255475,RW,CAM,RW,
212442,GK,GK,GK,
212404,CAM LM RM,CAM,SUB,SUB
212382,ST,ST,ST,
212096,LM CF,LM,LM,
211748,CM CDM,CM,CDM,
211241,RB RM LB,RB,SUB,
211022,LM ST RM,LM,LM,
210897,CB,CB,CB,
210625,RB,RB,RB,
210324,CM RM LM,RM,RM,RB
247204,RB,RB,RB,
210315,ST,ST,ST,
209846,LB LM LWB,LB,LB,
208165,CB,CB,CB,
208135,CM CDM,CM,CDM,
208104,GK,GK,GK,
207566,CDM CM,CDM,SUB,
207494,CAM,CAM,SUB,
206585,GK,GK,SUB,
206545,CM RM LM,CM,CM,
206467,ST LW,CF,ST,
205923,LB CB,LB,SUB,LB
138412,CM LB RB,CDM,SUB,
247851,CDM CM,CM,CDM,
41,CM CAM,CAM,CAM,
244067,CB,CB,CB,
236480,CDM CM,CM,CM,
243812,RW,CAM,RW,
232432,ST,ST,SUB,
232580,CB,CB,CB,
232665,CDM CM,CDM,CDM,
232730,CAM CF,CAM,CAM,
232756,CB,CB,CB,
233738,CB CM CDM,CDM,SUB,
234035,RB,RB,RB,
234236,ST,ST,ST,ST
234612,RM ST,CAM,RM,
235073,GK,GK,GK,
235688,CB,CB,CB,
206413,CDM,CDM,CDM,SUB
236506,CB,CB,CB,
239433,CDM CM,CDM,CDM,
236572,LB,LWB,LB,
241788,ST CF,ST,ST,
241637,CM CDM,CM,CM,SUB
240679,CDM CM CB,CM,SUB,SUB
240243,CAM LM ST,CAM,SUB,
242516,LM ST,RM,CAM,LW
239301,CB LB CDM,CDM,CB,SUB
237239,LM CM,CAM,LM,
236632,RW LW,CAM,SUB,
237942,LB LWB,LB,SUB,
236610,ST,ST,SUB,
199576,CDM CM,CDM,CM,
24630,GK,GK,GK,
178007,CM CDM,CM,CM,
178088,CAM RM,CAM,SUB,
203605,RWB RB RM,RWB,RB,SUB
199189,CAM CM,CAM,RES,
199206,CB,CB,CB,
198658,CM CDM,CM,CM,SUB
198657,RB,RB,RB,RB
197837,CB,CB,CB,SUB
146439,ST,ST,ST,
195096,CM CAM,CM,SUB,
199915,CB,CB,CB,
152908,LWB LB,LWB,SUB,
156433,GK,GK,GK,
159261,ST,CF,ST,
163155,GK,GK,SUB,
199715,LM RM,LM,RM,
200155,CM CAM,CM,CM,
200159,GK,GK,GK,
201042,RB CB,RB,CB,
201417,RB RWB,RB,SUB,RB
201995,LM CAM,LM,RW,
202493,RB RM LM,RB,RB,
194222,CB,CB,CB,
195093,ST,ST,SUB,
189053,ST,ST,ST,
193469,CB,CB,CB,
187936,CDM CM,CDM,RES,
178213,CM CDM,CM,CDM,
178224,ST,ST,ST,
178415,CM,CM,CM,
180216,RB,RB,RB,SUB
183394,CDM CM,CDM,CDM,
184392,RWB LWB RB,RWB,RM,
185103,LB CB,LB,RES,
186197,CAM,CAM,CAM,
199652,CM RM,CM,SUB,SUB
186801,CB CDM,CB,CDM,
187607,ST,ST,,ST
188335,ST,ST,SUB,
193408,ST,ST,SUB,
189125,CM CAM,CM,CM,
189280,CDM CM,CDM,CM,
189505,CF RW,CAM,LW,
189606,CDM CM,CDM,SUB,
189881,CB,CB,SUB,
190243,GK,GK,SUB,
191180,CAM CM,CAM,SUB,
192678,ST,ST,ST,
192679,LB LM,LB,SUB,
193171,LB RB,LB,SUB,
193361,CAM CM,CAM,CM,
202849,CB,CB,CB,CB
243559,RM LM,RM,RM,
203747,RB RWB,RB,RB,
203843,RB,RB,RB,
242187,CAM LM CM,CAM,RM,CAM
241727,GK,GK,GK,
240753,ST LM,CAM,ST,
240699,CM CAM LW,CAM,CAM,
239817,CDM CM,CDM,SUB,
239613,CAM CM CF,CAM,LF,SUB
239380,LW RW CAM,CAM,LW,
238616,LW RW,CAM,SUB,
238476,CB,CB,SUB,
238463,CM RM LM,CM,SUB,
238067,CAM RM,CAM,RM,SUB
237678,CB,CB,SUB,
236791,CF CM,CAM,RF,CAM
236355,CB,CB,CB,
236045,LB,LB,LB,
242201,CDM CM CAM,CM,CM,
243238,ST,ST,RES,
228413,GK,GK,GK,
246147,RM ST,CAM,RM,
244193,LW RW,CAM,LW,
244253,CM CDM,CM,CM,
244467,GK,GK,GK,
244622,LM ST CAM,ST,SUB,
245630,CM CDM,CM,CM,
246104,CM CDM,CAM,CM,SUB
246430,ST,ST,ST,
256630,CAM CM,CAM,CAM,SUB
246646,CDM CM,CM,CDM,
246844,LB,LB,LB,
248243,CM CDM,CM,SUB,
248695,CB,CB,RES,
252145,LWB LB LM,LWB,SUB,SUB
253163,CB,CB,SUB,
235353,RW RM ST,RW,RM,
234835,CB,CB,CB,SUB
234060,CM CDM CAM,CDM,SUB,
206651,RM LM CM,RM,SUB,
230206,RB LB,RB,RB,
230183,LB LWB LM,LB,RM,
229909,GK,GK,SUB,
208295,CB CM,CB,CB,
208268,CDM CB CM,CM,CDM,SUB
243630,ST,ST,ST,CAM
206590,LM RM CM,LM,RM,
230285,CB,CB,CB,
206534,ST,ST,ST,
205966,CAM CF LM,CAM,RES,
205409,GK,GK,GK,
205192,CM LM LW,CAM,CM,
204614,LB,LB,LB,
204082,CB,CB,SUB,CB
230212,CB LB,CB,CB,SUB
230360,RB RM CM,RB,RB,
233486,CB,CB,CB,
231352,ST,ST,ST,
232487,CDM CM,CDM,CM,
232229,GK,GK,GK,GK
232080,LM RM,LM,LM,
231887,CF ST CAM,CAM,SUB,
231691,GK,GK,GK,
231410,CAM LW LM,CAM,CAM,
231340,RB RWB,RWB,SUB,RB
230385,LW LM,LW,ST,SUB
230460,LW,LW,CAM,SUB
230442,ST,ST,ST,
167397,ST,ST,ST,
230440,ST,ST,ST,
230426,CM CAM,CM,CAM,SUB
230406,RM RW,RM,CAM,SUB
165229,CB,CB,CB,
228881,RB,RB,RB,
170368,RM CAM,CAM,SUB,
214097,CM LM,CM,CM,
219733,ST,ST,ST,
219581,CB,CB,CB,
217546,LB CB,LB,SUB,
217036,LB LWB LM,LB,LB,
216643,RB,RB,RB,RB
216320,CM,CM,CM,
216194,CM,CDM,CM,
215590,RW RM,RW,RM,
215353,ST,ST,SUB,
214766,CB,CB,CB,
214092,CAM ST,CAM,SUB,SUB
219985,CM CDM,CM,SUB,
214040,LB,LB,LB,
213956,RW RWB,RM,LW,SUB
213951,GK,GK,SUB,
213577,RM LM,RM,SUB,
213331,CB,CB,CB,
212419,CB,CB,CB,SUB
212213,RWB RB RM,RWB,SUB,
212207,CAM CM,CAM,CAM,CM
211591,ST,ST,ST,
210930,CAM RM,CAM,CAM,
219792,CDM CM,CDM,CM,
220883,ST,ST,SUB,
210736,LB LWB,LB,LB,LB
225341,CB,CB,CB,
227890,LW RW,LM,SUB,
227678,CB RB,CB,CB,
227535,CM,CDM,SUB,
227174,RB RWB,RB,RWB,
227055,RM LM,RM,RM,
226789,CAM CM RM,CAM,CAM,
226766,LW RW CAM,CAM,SUB,
225719,ST CF,ST,SUB,
225711,CB LB,CB,SUB,
225659,CDM CM,CDM,CDM,SUB
225263,CB,CB,SUB,
221697,ST,ST,ST,
224371,RM ST,LM,RM,
224254,LW RW LM,RM,SUB,
224069,LW ST,LW,SUB,
224003,GK,GK,GK,
223273,CM CAM,CM,SUB,
223053,RM RW,RM,RM,
222943,LM,LM,RES,
222558,RM RB,RWB,RB,
222493,CB,CB,CB,
221832,LB LWB CB,LB,LWB,
210881,CDM CM,CM,CM,CAM
228336,CM CDM CB,CM,CDM,CDM
177633,ST,ST,ST,
208334,CDM LB,CDM,LB,
171897,CDM CM LM,CDM,CDM,CM
175379,RM LM,CAM,RM,
175254,CF ST,ST,SUB,
173909,CAM CM CF,CAM,CM,
173306,LWB LB LM,LWB,LM,
172962,RM RWB,RM,RM,
174543,GK,GK,SUB,
208364,RB CB,RB,RB,
208920,CB,CB,SUB,
209973,ST,ST,SUB,
210372,RM RW,RM,RW,
210537,LM RM,LM,LM,
210665,CB LB,CB,SUB,
176772,GK,GK,GK,
234730,RB,RWB,RB,
235844,CDM CB,CB,CM,CDM
235794,LM CAM,CAM,SUB,
235173,CDM CM,CB,CDM,
