ID,TotalStats,BaseStats,Overall,Potential,Growth
212190,1675,379,82,87,5
212462,2235,466,82,82,0
212523,2168,454,82,83,1
212616,2179,466,82,83,1
216547,1997,429,82,82,0
219693,1930,418,82,84,2
220018,2101,454,82,82,0
120533,1893,420,82,82,0
222077,2113,447,82,87,5
229906,2011,426,82,86,4
222665,2090,438,82,88,6
224293,2168,443,82,87,5
224458,2148,457,82,87,5
225100,1809,407,82,88,6
226271,2115,447,82,86,4
229391,2033,440,82,87,5
229558,1846,416,82,90,8
229668,2007,430,82,85,3
220440,1895,410,82,86,4
190460,2009,414,82,82,0
157481,1733,364,82,82,0
205070,2177,462,82,82,0
199110,2005,426,82,82,0
199482,1376,462,82,83,1
199823,2134,450,82,82,0
201305,1976,421,82,82,0
201519,2198,465,82,83,1
202651,1947,407,82,82,0
203486,2088,440,82,82,0
205069,2124,452,82,82,0
208128,2084,430,82,83,1
197781,2060,428,82,82,0
208333,2270,485,82,83,1
208421,2199,463,82,85,3
208461,2118,442,82,82,0
209981,1251,437,82,82,0
210035,2184,461,82,85,3
210413,1765,394,82,83,1
210935,2029,430,82,82,0
211256,2081,445,82,82,0
198717,1970,436,82,82,0
194404,1333,454,82,82,0
164835,1261,448,82,82,0
188152,2149,447,82,82,0
168435,1243,445,82,82,0
168651,2131,443,82,82,0
173731,2177,453,82,82,0
178005,1368,457,82,82,0
178562,2159,450,82,82,0
180206,2147,439,82,82,0
183512,2178,464,82,82,0
187072,2147,440,82,82,0
188943,1240,454,82,82,0
193698,1261,450,82,82,0
189242,2086,428,82,82,0
190815,2097,425,82,82,0
192318,2082,434,82,82,0
193105,1378,460,82,84,2
193165,2167,448,82,82,0
193301,2048,429,82,82,0
193474,2103,445,82,82,0
193525,2095,452,82,82,0
211515,1264,451,82,87,5
234378,1976,425,82,87,5
200888,2027,437,81,81,0
235374,2032,448,81,81,0
209297,2169,447,81,81,0
208618,2136,452,81,81,0
208596,1959,415,81,82,1
208448,1934,405,81,81,0
251854,2023,435,81,91,10
251573,2161,460,81,86,5
247394,2089,451,81,89,8
247263,1914,421,81,88,7
245279,2039,445,81,84,3
241852,1884,414,81,88,7
240950,2094,441,81,88,7
239231,2107,451,81,87,6
238074,2098,449,81,86,5
208330,1908,405,81,81,0
210385,1214,430,81,84,3
207439,2175,454,81,83,2
206511,2161,453,81,82,1
205678,2070,435,81,81,0
205659,1224,438,81,83,2
205569,2139,437,81,84,3
205175,1955,401,81,82,1
204638,1673,355,81,82,1
204525,1979,416,81,81,0
204311,1905,401,81,84,3
204120,1315,437,81,81,0
203551,2178,450,81,81,0
202695,1869,396,81,82,1
201095,1368,451,81,81,0
210008,2136,460,81,82,1
210406,2115,453,81,82,1
230225,2003,413,81,81,0
221992,2013,427,81,82,1
230258,2033,434,81,81,0
230294,1904,400,81,81,0
230347,2068,436,81,81,0
228251,2190,462,81,86,5
227950,1906,401,81,83,2
227127,1287,447,81,84,3
226226,2174,458,81,85,4
226166,1995,433,81,85,4
226110,2005,426,81,82,1
225375,2136,461,81,85,4
224411,1998,427,81,86,5
224081,2090,443,81,85,4
223952,1273,436,81,82,1
221479,1963,422,81,85,4
210411,2088,442,81,82,1
221363,2141,450,81,86,5
220407,1329,444,81,81,0
220093,2057,453,81,81,0
217940,1836,391,81,82,1
216475,2118,448,81,81,0
216409,1994,419,81,81,0
216201,2039,440,81,82,1
215330,1972,429,81,82,1
214979,1222,445,81,83,2
212194,2016,426,81,85,4
211990,1258,434,81,83,2
211300,2003,429,81,84,3
210463,2028,434,81,81,0
200949,2088,436,81,81,0
230256,2133,459,81,81,0
200724,1878,411,81,81,0
234906,2115,446,81,86,5
163705,1275,448,81,81,0
167664,1871,391,81,81,0
171791,1738,362,81,81,0
172871,2054,437,81,81,0
176266,2028,420,81,81,0
178086,1322,455,81,81,0
181458,2154,453,81,81,0
181872,2224,466,81,81,0
183574,2009,414,81,81,0
184200,2113,443,81,81,0
187754,2043,434,81,81,0
190674,2119,445,81,81,0
192366,1894,404,81,81,0
234742,1970,428,81,84,3
200454,1976,406,81,81,0
234153,2169,460,81,88,7
233927,2196,464,81,85,4
232411,2127,453,81,86,5
231969,2195,461,81,81,0
230430,1874,399,81,81,0
193283,2197,459,81,81,0
193314,1331,446,81,81,0
193983,2055,436,81,81,0
195365,2063,428,81,81,0
195859,2055,427,81,81,0
197965,2146,445,81,81,0
198164,2133,451,81,81,0
198710,2091,421,81,81,0
163489,1206,438,81,81,0
156519,2157,459,81,81,0
153244,2017,424,81,81,0
124375,1978,416,81,81,0
45186,1960,412,81,81,0
200260,2033,427,81,81,0
199987,1325,452,81,81,0
199564,2071,445,81,81,0
199304,2128,448,81,81,0
139068,1981,418,81,81,0
213661,1732,384,80,85,5
209519,2032,431,80,81,1
209960,1300,434,80,82,2
210455,1987,423,80,81,1
211117,2115,446,80,82,2
212151,1215,438,80,83,3
212187,2113,451,80,81,1
212814,2058,435,80,80,0
215223,1281,442,80,82,2
214584,1294,428,80,80,0
215316,1308,450,80,80,0
217870,2112,454,80,80,0
219683,2166,452,80,81,1
219953,2103,444,80,80,0
220182,1902,425,80,83,3
220971,2064,435,80,83,3
221087,1342,442,80,80,0
221660,1967,417,80,82,2
222331,1900,430,80,84,4
222716,1946,414,80,83,3
223724,2019,440,80,80,0
198141,2043,433,80,80,0
201143,1967,410,80,81,1
208808,2079,440,80,80,0
171877,2139,448,80,80,0
231447,1986,428,80,85,5
1179,1270,418,80,80,0
140233,1255,438,80,80,0
148119,1243,443,80,80,0
162347,2126,421,80,80,0
169588,1729,363,80,80,0
171579,2165,430,80,80,0
172522,2189,461,80,80,0
183855,1733,375,80,80,0
173426,1287,448,80,80,0
176676,2157,459,80,80,0
177388,1992,416,80,80,0
177509,1735,385,80,80,0
177604,2010,422,80,80,0
178518,2197,460,80,80,0
182493,1838,386,80,80,0
232119,1840,409,80,83,3
232293,1961,426,80,87,7
233195,2060,443,80,84,4
233306,1250,445,80,87,7
246669,2045,439,80,88,8
244470,2079,440,80,80,0
244369,1954,418,80,86,6
243576,2069,449,80,87,7
241095,2046,440,80,86,6
241084,1938,424,80,86,6
240900,1561,348,80,84,4
240709,2095,459,80,85,5
239207,1911,402,80,85,5
238794,1919,418,80,90,10
237383,1801,393,80,89,9
237238,2103,453,80,84,4
236987,1954,425,80,86,6
236583,1065,409,80,82,2
236401,2023,444,80,85,5
182494,1389,452,80,80,0
184941,2066,427,80,80,0
207877,1915,399,80,80,0
204399,2050,424,80,80,0
201922,2059,429,80,80,0
202024,2066,442,80,80,0
202166,2075,436,80,80,0
202325,1988,403,80,80,0
203890,2050,436,80,80,0
203895,2019,419,80,80,0
203980,2049,425,80,80,0
204970,2046,427,80,80,0
185020,1984,417,80,80,0
205600,2020,420,80,80,0
205686,2134,444,80,80,0
205693,1934,413,80,81,1
205705,1813,393,80,80,0
205849,1281,446,80,81,1
207599,1834,396,80,81,1
207732,1965,414,80,80,0
201400,2124,446,80,80,0
223959,2098,448,80,84,4
201119,2063,451,80,80,0
199254,2031,423,80,80,0
186561,2082,432,80,80,0
187598,1891,395,80,80,0
189117,1248,430,80,80,0
189271,2094,448,80,80,0
189690,1370,448,80,80,0
190972,2096,443,80,80,0
193061,2116,452,80,80,0
196432,2114,443,80,80,0
197225,2068,433,80,80,0
197242,2081,443,80,80,0
198009,1268,448,80,82,2
198031,2140,438,80,80,0
198950,2024,427,80,80,0
198951,2003,430,80,80,0
199042,2139,441,80,80,0
223816,2014,431,80,80,0
216189,2153,461,80,80,0
224179,1872,398,80,80,0
230201,1954,422,80,80,0
227290,1299,432,80,81,1
227813,2146,444,80,85,5
227928,2016,438,80,81,1
229237,1939,428,80,83,3
229261,2034,458,80,86,6
229582,1727,379,80,84,4
229857,2039,419,80,83,3
229927,2132,452,80,84,4
224309,2062,439,80,81,1
230271,1834,383,80,80,0
230313,1788,383,80,80,0
230767,2218,475,80,86,6
226754,2160,450,80,84,4
226491,2083,450,80,86,6
225953,2016,429,80,84,4
225201,2113,445,80,81,1
225085,2012,425,80,83,3
230204,1264,435,80,80,0
230498,1907,400,79,79,0
192123,1905,394,79,79,0
191202,1964,403,79,79,0
191740,2138,446,79,79,0
192064,2032,430,79,79,0
192906,2071,422,79,79,0
192598,2104,443,79,79,0
192638,2131,439,79,79,0
192789,2048,440,79,79,0
190745,1237,444,79,79,0
190813,1988,425,79,79,0
189615,2057,425,79,79,0
190717,2115,448,79,79,0
190584,2031,419,79,79,0
189805,1910,389,79,79,0
189682,1793,383,79,79,0
193348,2040,425,79,79,0
189560,1974,403,79,79,0
188042,2087,435,79,79,0
188041,2060,436,79,79,0
187052,2045,430,79,79,0
186682,1939,401,79,79,0
193198,2092,436,79,79,0
198230,1645,363,79,79,0
194209,1970,409,79,79,0
202048,1937,400,79,81,2
204024,1849,389,79,79,0
203483,2124,450,79,79,0
203299,1963,425,79,79,0
202935,1774,375,79,79,0
202857,1946,420,79,79,0
202750,1764,388,79,79,0
202648,2094,440,79,80,1
202477,1917,411,79,79,0
202335,1966,412,79,80,1
201455,2137,460,79,79,0
194333,1155,405,79,79,0
200726,1155,434,79,80,1
200315,1997,428,79,79,0
199503,1962,411,79,79,0
199354,1979,414,79,79,0
198946,2033,423,79,79,0
198784,2122,456,79,79,0
198329,2051,434,79,79,0
178509,1892,382,79,79,0
196978,1949,420,79,79,0
184484,2055,416,79,79,0
170890,2089,442,79,79,0
176919,1403,438,79,79,0
226300,1318,442,79,83,4
223597,1998,428,79,79,0
224031,2065,446,79,79,0
224196,2039,436,79,82,3
224490,1995,434,79,82,3
225116,1214,429,79,86,7
225508,1834,396,79,80,1
225663,2139,452,79,83,4
226162,2064,439,79,84,5
226221,1750,375,79,81,2
226456,2062,438,79,82,3
223249,1303,429,79,79,0
226851,2000,419,79,82,3
228093,1980,435,79,85,6
228520,2007,432,79,80,1
228687,1883,398,79,83,4
230184,2016,427,79,79,0
230216,1930,423,79,79,0
230234,2040,433,79,79,0
230251,2099,446,79,79,0
230312,1191,446,79,79,0
223578,1826,392,79,79,0
222501,1948,427,79,82,3
176635,1797,366,79,79,0
216150,2044,435,79,79,0
176550,1195,426,79,79,0
173221,2056,432,79,79,0
162240,2121,449,79,79,0
159145,1878,391,79,79,0
158121,1190,439,79,79,0
156616,1880,391,79,79,0
213516,2018,423,79,80,1
204234,1250,432,79,80,1
216145,1699,376,79,80,1
216388,1855,404,79,84,5
222028,2009,426,79,82,3
216531,1942,408,79,79,0
218339,2072,436,79,82,3
219789,2019,437,79,79,0
219809,1904,415,79,81,2
220253,1970,415,79,80,1
220523,1746,380,79,81,2
220673,2095,445,79,83,4
220793,1769,400,79,81,2
221491,1818,401,79,83,4
214047,2138,456,79,79,0
204538,1948,407,79,79,0
204259,2005,427,79,79,0
210513,1954,403,79,79,0
251809,1736,379,79,85,6
252371,2077,449,79,89,10
255475,1950,421,79,88,9
212442,1227,423,79,81,2
212404,2091,439,79,79,0
212382,1841,409,79,80,1
212096,1968,407,79,79,0
211748,2103,430,79,79,0
211241,2073,443,79,79,0
211022,1999,418,79,79,0
210897,1830,404,79,82,3
210625,1979,435,79,82,3
210324,2021,428,79,79,0
247204,2039,443,79,84,5
210315,1972,411,79,82,3
209846,1977,433,79,79,0
208165,1707,375,79,79,0
208135,2087,452,79,79,0
208104,1242,436,79,81,2
207566,1913,404,79,79,0
207494,2093,437,79,79,0
206585,1299,430,79,83,4
206545,2049,420,79,79,0
206467,2049,422,79,79,0
205923,1987,428,79,79,0
138412,2141,436,79,79,0
247851,2057,435,79,84,5
41,1955,403,79,79,0
244067,1742,398,79,86,7
236480,2105,444,79,84,5
243812,1928,405,79,88,9
232432,1912,404,79,84,5
232580,1713,381,79,84,5
232665,1934,405,79,84,5
232730,1924,405,79,82,3
232756,1782,399,79,85,6
233738,2082,443,79,84,5
234035,1975,423,79,82,3
234236,1912,402,79,82,3
234612,1906,411,79,83,4
235073,1158,418,79,84,5
235688,1764,395,79,84,5
206413,2006,425,79,79,0
236506,1773,392,79,85,6
239433,2030,425,79,84,5
236572,2016,437,79,84,5
241788,1926,414,79,79,0
241637,2093,452,79,85,6
240679,2141,441,79,84,5
240243,1983,421,79,86,7
242516,1989,429,79,85,6
239301,2066,436,79,85,6
237239,2123,435,79,80,1
236632,1916,416,79,83,4
237942,1880,406,79,85,6
236610,1875,411,79,87,8
199576,1812,372,78,78,0
24630,1317,436,78,78,0
178007,2052,412,78,78,0
178088,1874,366,78,78,0
203605,1975,414,78,78,0
199189,1996,426,78,79,1
199206,1808,390,78,78,0
198658,2057,442,78,78,0
198657,2070,440,78,78,0
197837,1664,370,78,78,0
146439,1895,389,78,78,0
195096,2065,437,78,78,0
199915,1771,379,78,79,1
152908,2094,430,78,78,0
156433,1339,440,78,78,0
159261,1896,390,78,78,0
163155,1260,429,78,78,0
199715,1965,418,78,78,0
200155,1978,411,78,78,0
200159,1387,442,78,80,2
201042,2053,438,78,78,0
201417,2019,431,78,78,0
201995,1984,431,78,78,0
202493,2049,445,78,78,0
194222,1683,359,78,78,0
195093,1910,404,78,78,0
189053,1877,398,78,78,0
193469,1782,373,78,78,0
187936,1872,394,78,78,0
178213,2022,419,78,78,0
178224,1861,379,78,78,0
178415,2129,436,78,78,0
180216,2032,428,78,78,0
183394,2058,445,78,78,0
184392,1956,417,78,78,0
185103,2172,443,78,78,0
186197,1997,413,78,78,0
199652,2016,425,78,78,0
186801,1947,422,78,78,0
187607,1855,398,78,78,0
188335,1702,377,78,78,0
193408,1991,420,78,78,0
189125,2137,439,78,78,0
189280,2071,422,78,78,0
189505,1931,400,78,78,0
189606,1905,399,78,78,0
189881,1785,386,78,78,0
190243,1228,434,78,78,0
191180,1914,398,78,78,0
192678,1849,398,78,78,0
192679,2049,426,78,78,0
193171,2004,423,78,78,0
193361,2092,440,78,78,0
202849,1710,351,78,79,1
243559,1891,404,78,84,6
203747,1946,418,78,81,3
203843,2103,442,78,78,0
242187,1917,405,78,84,6
241727,1038,410,78,83,5
240753,2013,427,78,85,7
240699,2182,453,78,84,6
239817,1987,429,78,85,7
239613,1988,431,78,84,6
239380,2004,428,78,85,7
238616,1842,402,78,85,7
238476,1632,364,78,84,6
238463,2056,436,78,83,5
238067,2057,451,78,87,9
237678,1705,384,78,86,8
236791,2029,432,78,81,3
236355,1727,384,78,85,7
236045,1940,423,78,79,1
242201,2086,441,78,82,4
243238,1792,390,78,78,0
228413,1187,436,78,81,3
246147,1951,422,78,89,11
244193,1984,422,78,86,8
244253,2094,449,78,85,7
244467,1194,448,78,82,4
244622,1967,425,78,85,7
245630,2034,441,78,83,5
246104,2074,449,78,90,12
246430,1779,389,78,85,7
256630,1935,411,78,89,11
246646,1970,425,78,86,8
246844,1866,410,78,83,5
248243,2089,445,78,89,11
248695,1770,387,78,86,8
252145,2009,430,78,88,10
253163,1706,377,78,86,8
235353,1833,406,78,86,8
234835,1645,360,78,82,4
234060,2034,438,78,84,6
206651,2092,437,78,78,0
230206,1962,431,78,78,0
230183,2101,439,78,78,0
229909,1238,432,78,79,1
208295,1925,408,78,78,0
208268,2015,430,78,82,4
243630,1862,405,78,86,8
206590,1959,413,78,78,0
230285,1676,369,78,78,0
206534,1923,410,78,78,0
205966,1883,399,78,78,0
205409,1294,427,78,78,0
205192,2009,423,78,79,1
204614,2025,416,78,78,0
204082,1697,376,78,79,1
230212,1814,382,78,78,0
230360,2078,444,78,78,0
233486,1585,353,78,83,5
231352,1766,383,78,86,8
232487,1959,423,78,79,1
232229,1231,445,78,86,8
232080,1915,415,78,84,6
231887,2004,421,78,82,4
231691,1232,427,78,83,5
231410,1818,386,78,86,8
231340,2020,437,78,84,6
230385,1824,387,78,78,0
230460,1883,403,78,78,0
230442,1831,392,78,78,0
167397,1927,388,78,78,0
230440,1939,405,78,78,0
230426,1914,409,78,78,0
230406,1896,416,78,78,0
165229,1780,378,78,78,0
228881,1963,414,78,81,3
170368,2073,429,78,78,0
214097,2126,439,78,79,1
219733,1759,375,78,79,1
219581,1794,385,78,81,3
217546,2015,426,78,78,0
217036,2029,432,78,78,0
216643,2028,429,78,79,1
216320,2041,448,78,80,2
216194,1980,410,78,78,0
215590,2056,428,78,78,0
215353,1821,378,78,78,0
214766,1744,373,78,78,0
214092,1882,394,78,80,2
219985,2037,437,78,78,0
214040,2021,444,78,78,0
213956,1914,435,78,81,3
213951,1134,429,78,79,1
213577,1970,422,78,78,0
213331,1615,365,78,82,4
212419,1849,408,78,80,2
212213,2067,433,78,78,0
212207,2116,434,78,78,0
211591,1891,403,78,82,4
210930,1906,398,78,78,0
219792,1953,417,78,80,2
220883,2056,428,78,81,3
210736,2017,430,78,79,1
225341,1735,370,78,81,3
227890,2004,421,78,79,1
227678,1837,403,78,84,6
227535,2099,445,78,83,5
227174,1971,423,78,83,5
227055,2003,429,78,79,1
226789,2038,440,78,82,4
226766,1861,394,78,81,3
225719,1934,411,78,82,4
225711,1903,415,78,82,4
225659,1862,398,78,79,1
225263,1740,380,78,83,5
221697,1961,421,78,83,5
224371,1948,412,78,83,5
224254,2051,441,78,81,3
224069,1900,405,78,78,0
224003,1239,431,78,80,2
223273,2058,434,78,80,2
223053,1904,403,78,78,0
222943,1973,423,78,78,0
222558,2120,456,78,79,1
222493,1713,371,78,80,2
221832,2092,442,78,79,1
210881,2106,448,78,81,3
228336,1934,421,78,81,3
177633,1854,391,78,78,0
208334,2018,419,78,78,0
171897,2112,433,78,78,0
175379,1946,399,78,78,0
175254,1973,421,78,78,0
173909,2118,444,78,78,0
173306,2058,436,78,78,0
172962,2081,439,78,78,0
174543,1480,451,78,78,0
208364,2067,442,78,78,0
208920,1992,424,78,81,3
209973,1813,391,78,78,0
210372,1863,384,78,78,0
210537,2050,421,78,78,0
210665,2075,429,78,78,0
176772,1228,428,78,78,0
234730,1966,426,77,82,5
235844,1927,416,77,83,6
235794,1936,415,77,83,6
235173,2020,432,77,84,7
234833,1175,419,77,82,5
234777,1321,433,77,82,5
234772,1866,402,77,77,0
234468,1961,412,77,81,4
234678,1945,429,77,82,5
234568,2104,450,77,83,6
227275,1290,420,77,82,5
234426,1749,378,77,81,4
236403,1878,418,77,84,7
227476,1916,413,77,77,0
235889,1891,399,77,79,2
236499,1997,427,77,84,7
236441,2034,453,77,80,3
236477,2110,451,77,83,6
227508,2083,434,77,78,1
227528,2010,434,77,77,0
227536,1904,418,77,77,0
227927,1819,398,77,82,5
228295,1711,370,77,81,4
228302,2065,445,77,82,5
228414,1968,411,77,81,4
229167,1991,425,77,82,5
212623,1992,419,77,81,4
212602,1788,392,77,79,2
238041,1932,422,77,82,5
237520,2112,455,77,82,5
236786,1919,412,77,81,4
236772,1961,413,77,87,10
236639,1962,413,77,80,3
236593,1829,391,77,84,7
236532,1732,382,77,84,7
225997,1963,421,77,77,0
236496,2052,435,77,84,7
226637,1794,380,77,82,5
225014,1988,430,77,81,4
225793,1849,411,77,85,8
188988,1861,375,77,77,0
183353,1905,412,77,77,0
183899,1979,411,77,77,0
184703,2058,420,77,77,0
184858,1886,401,77,77,0
185221,1923,401,77,77,0
185239,1786,389,77,77,0
188044,1968,414,77,77,0
188081,1989,422,77,77,0
188103,2039,428,77,77,0
189068,1752,371,77,77,0
181098,1885,383,77,77,0
189250,1891,395,77,77,0
189472,1713,359,77,77,0
190143,1985,414,77,77,0
190149,2056,444,77,77,0
190432,1933,414,77,77,0
190577,1954,407,77,77,0
190875,2135,443,77,77,0
192045,2030,444,77,77,0
192342,1919,402,77,77,0
181820,1912,394,77,77,0
180808,1981,416,77,77,0
193254,2006,432,77,77,0
172114,1986,396,77,77,0
20775,1894,389,77,77,0
49000,1305,416,77,77,0
146748,1203,418,77,77,0
146758,1923,390,77,77,0
152916,2000,413,77,77,0
154472,1753,363,77,77,0
158963,1989,398,77,77,0
165109,1943,413,77,77,0
170597,1245,418,77,77,0
172879,1753,386,77,77,0
180714,1218,420,77,77,0
173432,1837,382,77,77,0
173521,1754,372,77,77,0
173608,1803,374,77,77,0
176600,1990,417,77,77,0
177326,1875,379,77,77,0
178250,1987,401,77,77,0
179605,2031,437,77,77,0
179789,1702,356,77,77,0
180334,1732,362,77,77,0
192816,1802,381,77,77,0
193290,1969,416,77,77,0
225309,1993,419,77,81,4
222709,2056,439,77,77,0
220287,1756,372,77,78,1
220421,2010,441,77,78,1
220502,1995,432,77,80,3
220621,1880,396,77,80,3
221174,2089,438,77,77,0
222357,1982,436,77,82,5
222390,2087,440,77,81,4
222400,1970,412,77,80,3
222509,2013,420,77,80,3
223550,1348,429,77,81,4
220085,1879,391,77,82,5
223874,2083,437,77,80,3
223898,1153,413,77,82,5
224221,1770,381,77,80,3
224389,1968,416,77,84,7
224422,1925,412,77,83,6
224574,2031,438,77,80,3
233531,1893,403,77,83,6
225024,1885,408,77,80,3
225126,2023,420,77,79,2
220132,1810,386,77,77,0
219522,1204,421,77,80,3
193601,1647,358,77,77,0
215071,2122,449,77,77,0
213013,2050,445,77,77,0
213160,2049,438,77,79,2
213655,1818,400,77,79,2
213761,1874,401,77,77,0
213874,2075,439,77,77,0
214009,1931,413,77,78,1
214947,2000,430,77,77,0
214977,1897,411,77,78,1
215057,1942,405,77,77,0
215160,2079,445,77,78,1
219391,2013,426,77,78,1
215441,1911,403,77,81,4
215502,1227,423,77,81,4
216258,1893,411,77,77,0
216435,1969,414,77,80,3
216497,1928,411,77,78,1
217196,1622,351,77,77,0
217877,1902,399,77,79,2
218659,1906,405,77,80,3
219145,1564,336,77,79,2
234128,1887,402,77,80,3
235945,1903,400,77,82,5
233500,1991,428,77,84,7
202851,1866,395,77,77,0
202562,2065,449,77,77,0
