ID,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal
228618,92,64,76,80,78,84
193082,90,75,77,88,76,72
225193,74,78,81,82,82,81
215333,80,81,61,78,35,84
223697,82,75,74,79,77,81
213565,82,76,82,87,59,63
213648,60,71,76,76,81,82
214997,85,83,78,88,49,74
209989,69,71,82,81,80,84
216354,71,86,76,86,30,71
220651,78,71,82,84,76,70
220814,77,54,68,70,84,79
220834,82,80,81,83,43,62
223689,63,83,59,69,52,86
211688,83,61,77,80,79,73
234396,96,67,71,83,75,75
230869,82,77,76,84,47,85
231943,83,78,73,84,53,80
232488,76,46,52,60,83,84
233096,80,61,66,72,78,89
233419,91,76,76,85,49,72
233731,84,82,68,79,29,69
241461,82,79,78,82,35,66
234943,64,72,79,83,66,67
235410,78,83,58,79,35,76
235569,71,72,81,88,69,72
236792,64,72,74,74,82,85
240130,83,50,69,71,83,82
230168,79,84,77,78,42,83
241464,72,38,67,69,84,80
241671,81,78,74,85,55,80
244260,67,76,81,86,50,60
230375,78,43,56,64,85,79
227796,89,70,73,87,37,59
229984,76,53,77,78,78,75
220697,75,78,84,84,54,60
212190,65,42,59,49,83,81
212462,83,73,82,78,77,73
212523,80,83,81,83,52,75
212616,78,76,80,82,71,79
216547,94,73,74,86,50,52
219693,77,47,63,67,81,83
220018,86,83,75,82,48,80
120533,80,51,60,60,82,87
222077,61,72,79,77,79,79
229906,93,78,74,84,33,64
222665,77,74,83,84,58,62
224293,59,75,85,77,74,73
224458,84,81,73,85,57,77
225100,81,30,66,69,83,78
226271,63,78,79,82,74,71
229391,60,65,70,72,85,88
229558,81,43,62,68,81,81
229668,76,49,72,70,83,80
220440,74,45,67,64,82,78
190460,62,78,88,81,53,52
157481,40,41,62,62,86,73
205070,90,78,77,79,59,79
199110,89,83,74,86,27,67
199482,84,78,70,86,64,80
199823,68,74,83,82,71,72
201305,69,49,71,65,84,83
201519,77,75,77,78,77,81
202651,76,76,82,86,32,55
203486,80,76,80,85,53,66
205069,82,65,78,83,76,68
208128,67,78,84,85,59,57
197781,66,75,80,89,59,59
208333,78,78,78,80,84,87
208421,71,78,78,79,78,79
208461,66,68,71,72,82,83
209981,82,79,76,84,35,81
210035,87,65,81,83,74,71
210413,68,40,56,67,85,78
210935,79,80,81,85,36,69
211256,80,55,73,75,81,81
198717,89,77,73,88,34,75
194404,83,79,78,81,54,79
164835,82,82,71,82,48,83
188152,78,79,82,82,59,67
168435,82,77,76,80,46,84
168651,57,79,85,78,75,69
173731,82,84,82,80,55,70
178005,82,80,77,83,55,80
178562,62,75,84,82,76,71
180206,65,68,83,81,75,67
183512,83,68,76,76,79,82
187072,61,84,81,81,60,73
188943,82,78,79,84,49,82
193698,81,80,79,82,49,79
189242,69,79,80,89,52,59
190815,45,64,82,79,83,72
192318,68,75,83,84,55,69
193105,85,79,76,85,55,80
193165,83,67,79,85,74,60
193301,75,82,74,82,44,72
193474,69,66,72,78,83,77
193525,81,61,74,79,78,79
211515,82,81,76,82,47,83
234378,67,53,71,73,81,80
200888,64,63,71,73,80,86
235374,92,62,76,83,70,65
209297,77,66,77,81,75,71
208618,82,73,79,80,69,69
208596,76,81,59,78,38,83
208448,70,73,82,83,35,62
251854,78,65,79,84,66,63
251573,84,67,76,81,77,75
247394,84,74,77,84,56,76
247263,75,52,65,68,82,79
245279,86,58,75,78,78,70
241852,94,67,73,86,41,53
240950,76,81,79,84,56,65
239231,79,67,78,80,73,74
238074,80,58,77,78,76,80
208330,79,75,80,83,30,58
210385,82,76,75,84,30,83
207439,66,71,83,79,76,79
206511,65,81,79,78,76,74
205678,87,78,78,81,47,64
205659,82,80,73,84,39,80
205569,59,74,86,78,67,73
205175,64,84,67,76,39,71
204638,49,36,52,54,84,80
204525,71,56,66,63,81,79
204311,65,51,63,56,81,85
204120,83,77,74,84,39,80
203551,76,77,79,80,76,62
202695,57,45,67,64,82,81
201095,82,77,76,83,53,80
210008,76,74,76,79,76,79
210406,81,75,81,85,70,61
230225,71,61,57,62,82,80
221992,93,76,72,83,41,62
230258,77,57,74,76,82,68
230294,78,84,62,72,33,71
230347,79,54,76,78,75,74
228251,78,74,81,80,72,77
227950,68,49,62,63,82,77
227127,84,74,80,82,43,84
226226,75,76,82,83,69,73
226166,80,49,69,73,82,80
226110,88,79,75,83,36,65
225375,81,68,77,78,80,77
224411,86,79,76,82,36,68
224081,67,65,76,75,78,82
223952,81,80,72,82,41,80
221479,83,77,64,77,39,82
210411,78,69,79,85,63,68
221363,68,78,76,79,72,77
220407,79,78,80,82,46,79
220093,84,64,72,77,77,79
217940,69,37,62,61,83,79
216475,86,82,75,85,52,68
216409,83,77,78,84,42,55
216201,94,78,72,78,37,81
215330,84,75,77,85,39,69
214979,82,78,73,86,44,82
212194,73,75,80,84,48,66
211990,84,78,67,84,43,78
211300,87,80,73,86,35,68
210463,88,80,75,83,38,70
200949,90,79,70,86,43,68
230256,93,66,75,76,72,77
200724,78,37,66,69,81,80
234906,75,73,79,85,65,69
163705,80,80,78,81,48,81
167664,58,84,71,78,29,71
171791,32,46,62,62,83,77
172871,76,62,72,66,83,78
176266,56,65,73,75,82,69
178086,78,81,78,80,55,83
181458,81,79,76,79,64,74
181872,65,79,79,79,82,82
183574,64,81,81,82,40,66
184200,79,81,79,78,44,82
187754,79,76,78,86,47,68
190674,67,64,74,75,80,85
192366,63,57,62,58,83,81
234742,86,77,76,81,45,63
200454,77,84,69,80,35,61
234153,78,77,82,80,71,72
233927,75,77,80,84,70,78
232411,79,74,81,85,69,65
231969,74,80,83,81,64,79
230430,76,81,67,77,20,78
193283,75,71,74,74,83,82
193314,82,78,67,83,55,81
193983,84,82,73,75,37,85
195365,70,67,81,85,63,62
195859,79,84,70,79,45,70
197965,75,77,81,82,64,66
198164,82,75,79,83,63,69
198710,53,86,86,86,50,60
163489,81,82,72,83,40,80
156519,70,75,76,76,78,84
153244,68,82,73,76,41,84
124375,79,83,69,72,34,79
45186,68,80,84,81,44,55
200260,80,81,82,82,36,66
199987,81,80,78,79,53,81
199564,76,63,80,77,76,73
199304,73,67,73,74,82,79
139068,70,77,81,85,37,68
213661,65,31,65,68,83,72
209519,77,78,76,78,40,82
209960,79,77,70,82,45,81
210455,75,53,71,76,79,69
211117,68,78,78,82,65,75
212151,82,77,74,84,44,77
212187,82,67,79,75,73,75
212814,69,69,80,83,66,68
215223,80,79,72,83,48,80
214584,78,76,67,85,43,79
215316,80,79,78,80,54,79
217870,84,66,73,76,76,79
219683,66,77,77,78,76,78
219953,83,77,78,79,55,72
220182,83,43,67,70,81,81
220971,70,73,75,86,65,66
221087,80,79,72,82,49,80
221660,63,51,73,71,81,78
222331,85,51,64,71,82,77
222716,86,75,73,86,32,62
223724,78,63,70,75,74,80
198141,73,61,72,73,80,74
201143,66,46,74,69,81,74
208808,88,78,78,81,46,69
171877,68,77,81,80,70,72
231447,90,79,72,83,30,74
1179,76,73,70,76,33,90
140233,79,75,71,83,49,81
148119,77,72,78,84,50,82
162347,50,72,84,79,70,66
169588,52,32,61,58,83,77
171579,41,82,81,78,65,83
172522,74,78,80,77,76,76
183855,56,40,60,61,82,76
173426,80,75,76,82,51,84
176676,73,72,80,88,75,71
177388,69,77,83,82,38,67
177509,63,45,52,62,81,82
177604,65,61,74,74,80,68
178518,71,84,78,74,73,80
182493,57,48,63,60,80,78
232119,76,46,60,67,80,80
232293,88,80,63,75,39,81
233195,69,70,73,77,73,81
233306,80,79,78,83,49,76
246669,84,68,76,82,65,64
244470,77,56,73,75,78,81
244369,85,73,78,80,45,57
243576,80,67,73,79,75,75
241095,83,77,78,83,48,71
241084,92,77,70,82,32,71
240900,72,22,49,48,81,76
240709,84,73,73,81,70,78
239207,66,81,68,73,32,82
238794,95,70,71,87,29,66
237383,65,33,65,68,82,80
237238,66,75,75,75,78,84
236987,74,50,72,72,79,78
236583,82,75,60,85,36,71
236401,82,61,74,81,75,71
182494,78,80,72,79,61,82
184941,78,76,78,84,43,68
207877,87,80,61,79,25,67
204399,77,82,74,79,39,73
201922,70,70,67,60,81,81
202024,69,71,77,77,75,73
202166,74,76,80,82,58,66
202325,57,42,75,77,76,76
203890,79,55,73,74,78,77
203895,65,75,80,82,52,65
203980,75,77,79,82,43,69
204970,79,79,79,81,41,68
185020,77,76,76,81,48,59
205600,65,62,68,67,80,78
205686,67,74,83,82,69,69
205693,66,79,62,74,51,81
205705,61,50,63,60,82,77
205849,76,79,82,83,45,81
207599,55,49,65,65,82,80
207732,77,82,63,77,41,74
201400,71,74,80,84,69,68
223959,74,67,74,79,79,75
201119,82,64,74,81,75,75
199254,72,78,77,81,41,74
186561,66,70,81,83,66,66
187598,66,47,58,62,82,80
189117,81,79,60,86,47,77
189271,68,67,76,80,78,79
189690,81,79,77,82,52,77
190972,85,76,73,84,57,68
193061,76,74,79,82,68,73
196432,68,66,77,77,77,78
197225,74,73,83,81,49,73
197242,68,76,72,71,75,81
198009,80,80,71,82,56,79
198031,58,79,82,77,72,70
198950,72,76,81,82,57,59
198951,90,80,71,76,36,77
199042,65,71,80,77,76,72
223816,88,80,67,82,38,76
216189,82,64,76,77,74,88
224179,65,80,64,74,35,80
230201,76,51,70,78,77,70
227290,77,79,78,81,37,80
227813,73,65,80,80,77,69
227928,82,57,68,81,75,75
229237,81,48,67,74,81,77
229261,83,64,72,75,80,84
229582,62,45,50,58,80,84
229857,67,60,83,83,67,59
229927,74,64,79,80,78,77
224309,63,75,81,77,67,76
230271,80,72,77,83,26,45
230313,67,39,55,56,81,85
230767,84,74,77,84,72,84
226754,73,67,80,84,73,73
226491,84,60,75,77,75,79
225953,85,78,75,83,39,69
225201,83,76,76,82,63,65
225085,89,74,73,81,39,69
230204,81,75,78,79,41,81
230498,83,79,65,81,28,64
192123,64,79,60,70,40,81
191202,36,67,75,72,80,73
191740,65,72,77,79,78,75
192064,83,78,77,79,41,72
192906,68,82,76,83,43,70
192598,84,80,73,79,48,79
192638,58,74,78,77,75,77
192789,74,69,71,72,78,76
190745,82,77,63,82,60,80
190813,87,75,74,80,46,63
189615,69,60,75,76,77,68
190717,83,76,73,78,55,83
190584,47,71,77,78,77,69
189805,50,78,71,69,46,75
189682,62,42,58,62,81,78
193348,75,76,80,81,46,67
189560,33,70,75,69,77,79
188042,79,77,77,83,44,75
188041,70,66,76,75,74,75
187052,65,64,74,74,75,78
186682,45,64,75,72,75,70
193198,60,70,79,69,75,83
198230,49,40,59,55,81,79
194209,71,83,69,79,37,70
202048,47,58,75,66,79,75
204024,44,50,70,72,78,75
203483,71,80,73,76,72,78
203299,87,75,73,82,38,70
202935,64,33,59,57,80,82
202857,85,76,71,82,34,72
202750,62,36,64,64,79,83
202648,66,75,78,79,71,71
202477,88,73,73,83,30,64
202335,53,64,69,64,79,83
201455,68,74,75,76,78,89
194333,80,74,64,82,28,77
200726,79,77,77,80,42,79
200315,89,75,74,80,48,62
199503,50,64,79,69,69,80
199354,79,82,75,77,32,69
198946,70,56,67,71,80,79
198784,81,74,77,83,67,74
198329,86,78,75,79,45,71
178509,42,80,70,71,42,77
196978,80,78,66,78,41,77
184484,54,78,82,77,59,66
170890,73,65,72,76,77,79
176919,78,77,71,79,52,81
226300,80,75,73,81,55,78
223597,78,53,71,76,73,77
224031,85,66,67,74,75,79
224196,73,59,72,75,77,80
224490,79,58,71,72,75,79
225116,80,74,70,82,45,78
225508,73,42,58,67,79,77
225663,81,72,79,84,67,69
226162,73,73,80,82,64,67
226221,66,33,61,59,79,77
226456,68,74,79,80,69,68
223249,79,73,73,83,41,80
226851,69,53,72,71,78,76
228093,82,78,70,80,48,77
228520,81,81,65,78,44,83
228687,73,81,69,77,30,68
230184,89,58,70,77,74,59
230216,83,52,70,71,76,71
230234,67,62,74,76,78,76
230251,71,70,70,72,80,83
230312,81,75,71,82,60,77
223578,68,80,61,76,31,76
222501,78,57,71,76,75,70
176635,62,68,85,79,24,48
216150,76,66,73,74,75,71
176550,82,72,77,84,34,77
173221,72,78,79,80,61,62
162240,70,68,76,85,73,77
159145,60,81,68,72,36,74
158121,78,77,77,80,49,78
156616,69,73,81,85,30,53
213516,78,78,75,81,42,69
204234,77,76,76,82,44,77
216145,70,33,48,65,82,78
216388,91,69,70,88,25,61
222028,59,60,75,77,80,75
216531,67,78,64,74,44,81
218339,70,69,76,84,67,70
219789,85,54,72,76,73,77
219809,64,48,68,74,77,84
220253,79,78,75,82,35,66
220523,45,54,60,60,80,81
220673,69,69,72,74,79,82
220793,75,45,55,65,80,80
221491,74,39,63,68,80,77
214047,75,74,75,76,75,81
204538,84,80,66,78,32,67
204259,77,53,70,76,77,74
210513,73,76,81,83,39,51
251809,60,36,59,60,80,84
252371,75,69,73,80,75,77
255475,91,72,72,84,37,65
212442,80,77,62,83,45,76
212404,79,71,80,83,61,65
212382,71,77,62,70,45,84
212096,70,74,79,81,41,62
211748,58,76,79,82,65,70
211241,80,70,72,78,75,68
211022,80,76,79,80,45,58
210897,72,53,56,65,80,78
210625,88,51,69,73,74,80
210324,75,72,80,78,57,66
247204,84,62,71,75,74,77
210315,76,82,69,80,36,68
209846,83,55,70,70,74,81
208165,68,39,59,48,82,79
208135,70,76,72,76,77,81
208104,82,75,73,83,46,77
207566,40,60,76,69,75,84
207494,76,79,75,81,58,68
206585,78,77,85,81,33,76
206545,56,71,78,78,70,67
206467,71,82,77,79,39,74
205923,69,58,75,75,78,73
138412,56,70,81,77,77,75
247851,67,63,78,78,74,75
41,51,69,84,83,59,57
244067,88,33,56,64,80,77
236480,70,68,75,79,77,75
243812,87,76,71,83,32,56
232432,75,80,68,78,29,74
232580,68,36,60,57,80,80
232665,47,60,72,73,77,76
232730,75,68,79,83,41,59
232756,82,37,57,64,80,79
233738,68,67,75,73,79,81
234035,82,55,71,76,74,65
234236,70,79,70,80,35,68
234612,89,70,74,83,35,60
235073,80,78,77,83,26,74
235688,81,39,57,59,80,79
206413,65,63,71,68,79,79
236506,61,39,63,70,81,78
239433,56,68,75,71,77,78
236572,84,53,74,78,74,74
241788,76,79,70,80,38,71
241637,72,69,76,77,77,81
240679,65,72,79,72,76,77
240243,85,78,74,84,31,69
242516,85,78,74,79,41,72
239301,71,58,73,75,79,80
237239,75,81,78,82,63,56
236632,85,72,73,85,37,64
237942,82,34,68,72,75,75
236610,85,77,56,78,40,75
199576,41,44,62,64,80,81
24630,77,78,79,77,46,79
178007,46,70,83,76,66,71
178088,55,71,81,81,36,42
203605,74,43,73,73,72,79
199189,69,73,77,78,57,72
199206,73,40,58,58,80,81
198658,76,63,77,76,71,79
198657,79,60,72,74,73,82
197837,70,29,52,57,79,83
146439,59,81,64,72,36,77
195096,59,75,75,75,73,80
199915,46,51,62,63,79,78
152908,72,66,74,77,73,68
156433,80,80,70,77,58,75
159261,61,83,74,79,30,63
163155,78,77,73,78,45,78
199715,76,76,76,77,41,72
200155,47,78,79,75,59,73
200159,73,72,86,85,52,74
201042,74,62,74,75,74,79
201417,68,64,73,75,75,76
201995,85,74,76,82,55,59
202493,82,67,74,78,72,72
194222,50,46,55,50,80,78
195093,65,79,66,74,40,80
189053,82,79,62,78,30,67
193469,50,42,65,59,79,78
187936,40,56,70,66,77,85
178213,48,72,75,71,77,76
178224,68,76,63,75,31,66
178415,58,75,79,70,75,79
180216,66,65,73,76,78,70
183394,74,61,73,75,75,87
184392,70,58,69,74,78,68
185103,63,74,79,74,79,74
186197,73,72,76,84,42,66
199652,67,72,78,79,63,66
186801,64,64,62,69,78,85
187607,65,78,69,71,29,86
188335,65,78,48,74,35,77
193408,72,78,67,71,48,84
189125,69,75,80,80,70,65
189280,58,62,80,73,74,75
189505,74,73,77,84,40,52
189606,55,49,70,69,77,79
189881,64,47,58,59,79,79
190243,81,74,79,79,44,77
191180,64,73,80,79,52,50
192678,61,81,64,74,44,74
192679,69,63,74,71,78,71
193171,73,61,71,73,77,68
193361,69,75,78,80,67,71
202849,32,48,62,48,79,82
243559,83,70,74,81,37,59
203747,83,51,69,77,73,65
203843,73,69,73,74,76,77
242187,80,72,73,80,44,56
241727,77,76,74,81,23,79
240753,79,79,76,79,44,70
240699,84,75,77,81,69,67
239817,70,56,74,77,72,80
239613,70,70,74,78,67,72
239380,82,74,72,82,51,67
238616,87,74,69,82,31,59
238476,59,34,61,50,80,80
238463,70,72,76,80,68,70
238067,83,74,71,80,61,82
237678,71,34,57,66,80,76
236791,66,76,77,79,62,72
236355,73,29,61,69,80,72
236045,77,54,65,73,76,78
242201,72,70,76,74,74,75
243238,79,79,60,77,27,68
228413,80,73,73,82,52,76
246147,84,78,73,80,39,68
244193,86,76,73,80,38,69
244253,66,75,75,74,78,81
244467,77,80,78,77,58,78
244622,83,76,68,80,45,73
245630,71,67,74,77,74,78
246104,77,74,77,82,68,71
246430,75,78,58,74,28,76
256630,72,67,76,84,52,60
246646,73,58,72,81,72,69
246844,78,52,63,74,75,68
248243,72,65,76,80,75,77
248695,74,37,55,63,80,78
252145,85,57,68,74,74,72
253163,77,36,53,55,80,76
235353,94,76,67,80,22,67
234835,56,35,58,53,80,78
234060,65,71,74,75,77,76
206651,67,78,79,76,65,72
230206,92,56,68,74,72,69
230183,79,67,71,70,74,78
229909,79,73,65,82,56,77
208295,58,56,69,69,79,77
208268,55,71,76,75,75,78
243630,85,76,71,78,25,70
206590,68,74,77,78,55,61
230285,58,29,63,58,77,84
206534,73,78,67,73,42,77
205966,74,68,74,86,38,59
205409,77,70,71,80,48,81
205192,74,71,81,80,61,56
204614,80,49,73,79,71,64
204082,59,39,59,63,80,76
230212,68,48,60,52,79,75
230360,78,71,71,76,74,74
233486,66,25,52,56,80,74
231352,70,78,62,72,31,70
232487,66,61,70,75,78,73
232229,81,75,77,80,58,74
232080,83,71,72,79,42,68
231887,67,76,79,80,47,72
231691,80,76,69,82,46,74
231410,78,69,76,83,30,50
231340,86,53,70,74,73,81
230385,81,72,81,80,23,50
230460,78,69,77,80,45,54
230442,73,82,62,69,31,75
167397,56,79,67,76,41,69
230440,73,80,63,74,39,76
230426,83,72,75,79,52,48
230406,83,69,75,79,42,68
165229,54,43,63,64,79,75
228881,77,50,67,72,76,72
170368,70,77,79,82,53,68
214097,70,74,79,77,66,73
219733,60,78,60,70,26,81
219581,67,38,63,60,78,79
217546,70,59,69,72,77,79
217036,88,60,71,78,71,64
216643,72,59,75,73,76,74
216320,76,71,72,78,72,79
216194,41,65,71,72,78,83
215590,77,73,72,81,58,67
215353,63,78,58,74,30,75
214766,51,52,54,53,79,84
214092,75,70,76,80,31,62
219985,65,71,75,77,76,73
214040,86,61,71,78,70,78
213956,96,66,67,87,38,81
213951,77,73,70,81,52,76
213577,78,76,72,77,44,75
213331,67,27,55,56,79,81
212419,72,44,67,66,78,81
212213,74,67,75,78,70,69
212207,72,75,80,80,59,68
211591,78,77,63,73,30,82
210930,66,70,80,79,39,64
219792,60,62,71,74,76,74
220883,81,77,72,78,44,76
210736,80,63,70,79,75,63
225341,53,37,64,63,78,75
227890,81,75,75,80,43,67
227678,77,39,62,71,79,75
227535,73,62,79,80,75,76
227174,81,63,68,73,72,66
227055,93,71,70,83,51,61
226789,74,70,74,81,68,73
226766,90,65,71,85,33,50
225719,74,80,70,78,38,71
225711,74,39,71,76,78,77
225659,54,56,66,65,80,77
225263,59,39,60,61,79,82
221697,85,75,68,76,46,71
224371,76,75,73,79,44,65
224254,90,76,74,79,49,73
224069,85,78,71,77,25,69
224003,80,77,74,78,47,75
223273,64,75,75,77,67,76
223053,81,74,72,82,45,49
222943,82,69,77,78,52,65
222558,87,64,74,77,76,78
222493,64,41,57,52,81,76
221832,77,71,74,74,74,72
210881,70,73,75,79,71,80
228336,69,60,77,77,72,66
177633,71,81,61,78,34,66
208334,59,60,75,74,76,75
171897,64,68,80,79,73,69
175379,55,77,86,78,45,58
175254,74,78,70,75,44,80
173909,69,78,77,80,66,74
173306,77,64,76,77,72,70
172962,76,69,74,80,70,70
174543,77,78,84,78,56,78
208364,82,61,68,75,76,80
208920,76,53,70,70,80,75
209973,79,77,55,73,27,80
210372,71,69,81,80,28,55
210537,79,75,74,80,48,65
210665,63,66,73,71,76,80
176772,79,73,69,83,46,78
234730,83,52,66,77,73,75
235844,69,53,66,65,79,84
235794,77,69,73,81,47,68
235173,66,65,70,70,77,84
234833,76,74,72,81,43,73
234777,78,73,74,83,53,72
234772,89,70,74,77,39,53
234468,66,65,78,79,57,67
234678,89,56,68,72,66,78
234568,79,70,75,80,71,75
227275,76,74,73,77,41,79
234426,64,32,57,65,76,84
236403,75,47,70,73,77,76
227476,81,74,59,75,45,79
235889,81,75,73,81,37,52
236499,67,67,74,76,74,69
236441,84,64,72,77,70,86
236477,87,73,75,80,68,68
227508,63,76,74,72,73,76
227528,90,77,69,76,50,72
227536,87,77,61,65,39,89
227927,76,38,68,75,73,68
228295,57,34,60,65,79,75
228302,78,72,70,75,73,77
228414,79,74,75,81,39,63
229167,83,77,71,83,46,65
212623,75,77,69,77,49,72
212602,71,40,62,65,76,78
238041,81,56,64,76,72,73
237520,76,74,73,75,74,83
236786,84,77,74,76,35,66
236772,79,78,79,79,34,64
236639,55,61,74,75,71,77
236593,76,68,75,80,33,59
236532,66,38,61,64,78,75
225997,82,72,72,79,45,71
236496,74,63,75,75,72,76
226637,66,36,65,67,77,69
225014,74,65,75,82,66,68
225793,83,44,61,65,76,82
188988,71,72,77,81,32,42
183353,71,56,68,67,75,75
183899,82,74,74,78,47,56
184703,62,73,77,80,59,69
184858,77,77,64,71,34,78
185221,52,57,68,69,75,80
185239,72,39,61,67,80,70
188044,84,75,68,82,33,72
188081,83,76,73,80,40,70
188103,70,77,78,81,54,68
189068,45,79,57,64,50,76
181098,51,51,73,70,76,62
189250,69,76,66,71,32,81
189472,56,36,54,53,76,84
190143,67,54,74,73,77,69
190149,82,64,74,76,70,78
190432,61,64,72,69,74,74
190577,75,75,74,78,33,72
190875,58,74,73,74,77,87
192045,84,63,73,75,70,79
192342,54,78,81,77,36,76
181820,65,79,76,79,35,60
180808,71,55,67,68,80,75
193254,72,65,73,68,74,80
172114,53,76,78,78,44,67
20775,72,71,78,84,24,60
49000,77,75,70,79,37,78
146748,73,76,71,75,44,79
