ID,ValueEUR,WageEUR,ReleaseClause,ContractUntil
200647,27000000,84000,45900000,2022
202811,33500000,81000,66200000,2024
192629,27000000,46000,56700000,2023
203263,42500000,155000,81800000,2024
193080,28000000,120000,51800000,2023
152729,13500000,175000,27700000,2024
186345,36500000,74000,74800000,2023
184134,21000000,43000,44100000,2022
183711,29500000,140000,54600000,2025
181291,40500000,115000,74900000,2024
175943,20500000,105000,34900000,2022
204923,48000000,110000,82800000,2025
146536,13000000,30000,27300000,2024
41236,14500000,51000,24700000,2022
235790,94500000,130000,193700000,2025
204639,34500000,74000,70700000,2024
232656,62500000,51000,118800000,2024
216393,57000000,125000,112600000,2023
206517,50500000,180000,97200000,2027
216594,45000000,42000,94500000,2023
222492,56000000,105000,96600000,2025
224232,63500000,120000,112700000,2024
224334,37000000,45000,77700000,2024
216352,37000000,130000,62900000,2022
228941,51000000,110000,90500000,2026
230938,49500000,51000,87900000,2022
205988,48500000,140000,93400000,2023
207862,42500000,45000,75400000,2022
207863,27500000,74000,56400000,2022
208418,45000000,81000,92300000,2024
208574,42500000,52000,72300000,2023
208670,42500000,170000,78600000,2025
209889,40500000,79000,68900000,2023
210243,40500000,130000,77000000,2023
212188,56500000,155000,108800000,2025
215698,49500000,45000,87900000,2026
216460,52000000,74000,110500000,2025
197655,30000000,21000,60000000,2023
203574,41000000,140000,78900000,2026
199914,30500000,100000,58000000,2023
200610,37000000,83000,70300000,2024
201153,37000000,84000,0,2022
201399,37000000,120000,68500000,2024
202884,33000000,72000,56100000,2024
203841,25000000,45000,47500000,2023
204838,35500000,120000,67500000,2024
199845,17500000,75000,29800000,2023
192774,30000000,80000,51000000,2024
205452,34500000,130000,66400000,2022
183907,23500000,81000,44700000,2023
135507,7000000,100000,13000000,2022
169416,29000000,17000,43500000,2022
177413,24000000,72000,40800000,2022
178750,18000000,37000,37800000,2022
179645,23500000,54000,40000000,2022
180930,15500000,105000,26400000,2023
184087,0,0,0,
192883,29500000,82000,50200000,2022
184432,25000000,125000,46300000,2022
189575,36500000,44000,76700000,2024
190286,34500000,38000,72500000,2023
190941,19000000,55000,32299999,2023
191043,31500000,95000,52000000,2023
192563,28000000,87000,55300000,2023
204935,33000000,83000,65200000,2024
241486,53000000,33000,121900000,2024
205632,39500000,46000,83000000,2024
225850,45500000,90000,87600000,2024
197061,30500000,130000,56400000,2024
207410,41500000,135000,79900000,2024
242444,82000000,61000,184500000,2026
239053,58000000,160000,130500000,2027
235805,80500000,74000,0,2022
234642,30000000,105000,57800000,2025
233064,58500000,120000,119900000,2024
231443,55000000,165000,116900000,2022
230666,52500000,150000,101100000,2023
230658,47000000,90000,81100000,2024
230481,35500000,49000,67500000,2024
229880,48500000,115000,93400000,2024
228618,43500000,170000,92400000,2025
193082,19000000,95000,31400000,2022
225193,50000000,47000,108800000,2025
215333,35500000,77000,60400000,2023
223697,36000000,65000,61200000,2023
213565,48000000,71000,102000000,2023
213648,43500000,105000,85900000,2025
214997,48000000,80000,102000000,2024
209989,36500000,115000,69400000,2024
216354,35500000,59000,60400000,2022
220651,46000000,77000,81700000,2025
220814,44500000,85000,76800000,2024
220834,48000000,190000,102000000,2023
223689,37000000,95000,62900000,2023
211688,43500000,48000,94600000,2023
234396,57000000,59000,105500000,2025
230869,34500000,24000,75000000,2025
231943,46500000,100000,91800000,2024
232488,41500000,51000,0,2022
233096,35000000,100000,62100000,2025
233419,46000000,89000,90900000,2024
233731,45000000,37000,97900000,2026
241461,68500000,120000,140400000,2025
234943,46000000,36000,81700000,2024
235410,44000000,37000,95700000,2025
235569,46000000,95000,90900000,2024
236792,36000000,81000,71100000,2024
240130,56500000,130000,127100000,2025
230168,10000000,20000,19000000,2024
241464,56500000,35000,130000000,2024
241671,35000000,1000,79600000,2024
244260,46000000,78000,81700000,2024
230375,25500000,41000,48500000,2024
227796,49000000,120000,100500000,2024
229984,40500000,100000,78000000,2025
220697,41500000,100000,82000000,2024
212190,40500000,78000,69900000,2022
212462,27500000,130000,50900000,2024
212523,35500000,61000,63000000,2024
212616,35000000,68000,74400000,2026
216547,30500000,22000,61000000,2024
219693,30500000,37000,66300000,2024
220018,32500000,54000,55300000,2025
120533,5500000,14000,11000000,2023
222077,42000000,74000,72500000,2023
229906,43500000,75000,85900000,2025
222665,49000000,89000,102900000,2026
224293,46000000,89000,90900000,2024
224458,46000000,120000,88600000,2025
225100,43500000,100000,89200000,2024
226271,42000000,77000,74600000,2023
229391,41000000,18000,85100000,2025
229558,64000000,70000,118400000,2026
229668,35500000,62000,75400000,2024
220440,37500000,145000,79700000,2026
190460,29500000,120000,50200000,2024
157481,8000000,30000,16800000,2022
205070,30000000,51000,63000000,2024
199110,30000000,70000,51000000,2024
199482,23000000,60000,45400000,2023
199823,30500000,43000,64099999,2023
201305,25000000,44000,52500000,2024
201519,29500000,66000,52400000,2024
202651,32500000,42000,68300000,2025
203486,30500000,75000,51900000,2024
205069,27500000,90000,50900000,2025
208128,35000000,115000,62100000,2024
197781,30000000,175000,61500000,2022
208333,35000000,72000,62100000,2024
208421,39500000,68000,0,2022
208461,25500000,59000,43400000,2024
209981,20500000,29000,43100000,2024
210035,37000000,18000,76800000,2023
210413,31500000,49000,55900000,2022
210935,33500000,51000,57000000,2024
211256,27500000,24000,38500000,2023
198717,31000000,85000,58900000,2023
194404,16000000,115000,32799999,2023
164835,3400000,43000,6500000,2022
188152,30000000,38000,46500000,2024
168435,5000000,20000,9000000,2022
168651,18500000,39000,38900000,2024
173731,25000000,170000,51300000,2022
178005,10000000,51000,17000000,2024
178562,15000000,46000,25500000,2023
180206,25000000,155000,0,2022
183512,22000000,35000,46200000,2022
187072,24000000,41000,40800000,2023
188943,20500000,31000,34900000,2024
193698,16000000,37000,27200000,2023
189242,30000000,165000,61500000,2023
190815,21000000,23000,29400000,2023
192318,30000000,29000,42000000,2024
193105,26000000,75000,0,2022
193165,30500000,22000,61000000,2022
193301,30000000,110000,57000000,2022
193474,21500000,88000,39800000,2023
193525,26500000,57000,42400000,2024
211515,35000000,48000,0,2022
234378,43000000,69000,84900000,2024
200888,22000000,85000,40700000,2025
235374,25000000,64000,42500000,2024
209297,22500000,120000,41600000,2023
208618,25000000,170000,51300000,2024
208596,30000000,61000,53300000,2022
208448,25500000,87000,43400000,2025
251854,54000000,51000,121500000,2022
251573,36500000,49000,77600000,2025
247394,58000000,72000,107300000,2024
247263,48500000,49000,92200000,2026
245279,32500000,79000,64200000,2025
241852,52500000,52000,99800000,2025
240950,51500000,19000,113300000,2025
239231,41500000,63000,87200000,2026
238074,37000000,76000,71200000,2025
208330,28000000,45000,58800000,2022
210385,25500000,24000,55500000,2026
207439,28000000,81000,53900000,2023
206511,26500000,66000,47000000,2026
205678,21500000,50000,43000000,2025
205659,23500000,32000,41700000,2024
205569,33500000,69000,66200000,2026
205175,30000000,81000,0,2022
204638,24500000,79000,43500000,2025
204525,21000000,33000,44100000,2023
204311,30000000,75000,59300000,2025
204120,13000000,2000,27300000,2023
203551,22000000,58000,0,2022
202695,24500000,46000,48400000,2022
201095,8500000,14000,17000000,2023
210008,30000000,87000,51800000,2023
210406,29500000,74000,52400000,2024
230225,25000000,41000,45000000,2024
221992,31000000,77000,55000000,2024
230258,27000000,26000,51300000,2024
230294,25500000,28000,48500000,2024
230347,27500000,31000,49500000,2024
228251,38000000,61000,67500000,2022
227950,28000000,33000,60900000,2026
227127,26000000,31000,56600000,2023
226226,35500000,95000,70100000,2025
226166,34500000,65000,61200000,2023
226110,30500000,95000,60200000,2024
225375,33500000,65000,59500000,2023
224411,39000000,39000,84800000,2024
224081,32500000,82000,64200000,2024
223952,20500000,30000,44600000,2022
221479,37500000,90000,74100000,2025
210411,30500000,19000,63300000,2025
221363,38500000,110000,74100000,2025
220407,13000000,40000,24700000,2025
220093,25000000,55000,42500000,2023
217940,24000000,36000,52200000,2023
216475,16500000,41000,34700000,2023
216409,27500000,74000,46800000,2024
216201,30000000,39000,65300000,2028
215330,31000000,76000,0,2022
214979,23500000,44000,41700000,2025
212194,36000000,64000,63900000,2024
211990,23500000,14000,48800000,2024
211300,34500000,130000,66400000,2024
210463,26000000,34000,54600000,2022
200949,26000000,105000,49400000,2024
230256,22500000,24000,42800000,2024
200724,17500000,140000,35900000,2023
234906,39000000,65000,77000000,2023
163705,2900000,24000,5500000,2024
167664,16500000,14000,24800000,2022
171791,4600000,30000,8700000,2022
172871,8500000,18000,17000000,2023
176266,9000000,64000,15300000,2022
178086,4400000,14000,8800000,2022
181458,20500000,105000,34900000,2022
181872,12000000,105000,20400000,2022
183574,16500000,45000,29700000,2022
184200,21000000,48000,35700000,2024
187754,16000000,2000,33600000,2021
190674,21500000,43000,40900000,2023
192366,12500000,18000,25000000,2023
234742,35000000,95000,69100000,2025
200454,28000000,45000,58800000,2025
234153,51500000,39000,118500000,2023
233927,37000000,65000,73100000,2025
232411,39000000,72000,69200000,2024
231969,26500000,68000,45100000,2023
230430,25500000,56000,45900000,2024
193283,22000000,34000,46200000,2025
193314,17000000,28000,35700000,2023
193983,25500000,49000,48500000,2024
195365,24500000,83000,41700000,2023
195859,26500000,90000,50400000,2024
197965,21000000,19000,42000000,2023
198164,21500000,15000,34400000,2026
198710,25500000,105000,48500000,2022
163489,4400000,32000,7500000,2022
156519,21000000,63000,43100000,2022
153244,11000000,50000,17600000,2024
124375,11000000,39000,20900000,2022
45186,8500000,23000,17900000,2022
200260,25500000,26000,35700000,2025
199987,13000000,33000,27300000,2023
199564,22500000,140000,46100000,2022
199304,22500000,83000,37100000,2024
139068,12000000,14000,18000000,2021
213661,28000000,95000,53900000,2022
209519,24500000,59000,48400000,2025
209960,17500000,25000,39800000,2023
210455,22000000,81000,43500000,2025
211117,26500000,90000,52300000,2024
212151,21000000,48000,37300000,2022
212187,22000000,22000,32500000,2024
212814,21000000,19000,42000000,2026
215223,18000000,32000,35600000,2023
214584,3600000,17000,5000000,2023
215316,14500000,31000,30500000,2024
217870,20500000,63000,34900000,2026
219683,24500000,78000,42300000,2022
219953,20500000,26000,43100000,2024
220182,24500000,64000,48400000,2022
220971,27500000,110000,52900000,2023
221087,16500000,44000,0,2022
221660,23000000,105000,44300000,2024
222331,26500000,67000,47000000,2024
222716,28000000,17000,58100000,2025
223724,19000000,34000,32299999,2024
198141,17500000,28000,36800000,2023
201143,19500000,37000,42400000,2025
208808,20500000,68000,32799999,2024
171877,13000000,35000,26000000,2023
231447,33000000,59000,58600000,2026
1179,2300000,18000,4099999,2023
140233,2300000,27000,3900000,2022
148119,2300000,26000,3700000,2022
162347,9500000,88000,18100000,2022
169588,10000000,95000,19000000,2023
171579,10500000,36000,22100000,2022
172522,16500000,42000,34700000,2022
183855,10000000,70000,19000000,2022
173426,7000000,24000,9800000,2025
176676,11000000,135000,22600000,2022
177388,10000000,51000,19000000,2024
177509,7000000,19000,14000000,2023
177604,6500000,26000,13700000,2022
178518,13000000,29000,19500000,2023
182493,5500000,27000,9400000,2023
232119,25000000,88000,49400000,2023
232293,43000000,66000,81700000,2025
233195,27500000,53000,48800000,2023
233306,36000000,70000,73800000,2025
246669,45500000,50000,95600000,2025
244470,19000000,73000,36100000,2023
244369,33500000,1000,80400000,2023
243576,40500000,80000,0,2022
241095,33500000,66000,70400000,2026
241084,33500000,16000,73700000,2024
240900,27000000,26000,58700000,2023
240709,32000000,59000,56800000,2025
239207,32000000,40000,69600000,2024
238794,46500000,120000,104600000,2025
237383,44500000,77000,84600000,2024
237238,27500000,90000,52900000,2025
236987,31000000,30000,65099999,2022
236583,17500000,14000,29300000,2022
236401,29500000,17000,43500000,2022
182494,2300000,32000,4600000,2024
184941,17000000,105000,28900000,2023
207877,21500000,14000,32299999,2023
204399,13500000,26000,18900000,2022
201922,18000000,34000,30600000,2024
202024,20500000,58000,34900000,2022
202166,22500000,83000,41600000,2024
202325,18000000,66000,30600000,2024
203890,18500000,56000,37900000,2022
203895,20500000,13000,30800000,2021
203980,21000000,2000,44100000,2023
204970,21000000,64000,33600000,2025
185020,10000000,61000,17000000,2022
205600,19500000,125000,40000000,2023
205686,20500000,35000,41000000,2023
205693,24500000,23000,36100000,2025
205705,14500000,17000,29000000,2022
205849,16000000,43000,26800000,2024
207599,20000000,84000,39500000,2025
207732,20500000,38000,43100000,2023
201400,21000000,86000,38900000,2023
223959,26500000,77000,0,2022
201119,15500000,1000,32600000,2023
199254,21000000,46000,35700000,2023
186561,20000000,81000,33000000,2023
187598,17500000,51000,29800000,2023
189117,14000000,46000,23800000,2023
189271,20000000,39000,42000000,2024
189690,3600000,48000,6800000,2023
190972,20500000,23000,28700000,2022
193061,20000000,23000,36000000,2023
196432,6000000,15000,8400000,2023
197225,16500000,12000,24800000,2023
197242,0,0,0,
198009,18000000,64000,31100000,2022
198031,20500000,19000,41000000,2025
198950,20500000,95000,0,2022
198951,20500000,30000,31800000,2021
199042,14000000,53000,23800000,2023
223816,23000000,79000,39100000,2022
216189,18500000,32000,38900000,2022
224179,21500000,34000,45200000,2024
230201,21000000,33000,39900000,2024
227290,16000000,26000,34800000,2025
227813,29500000,95000,56800000,2024
227928,22000000,81000,43500000,2023
229237,25000000,54000,44400000,2023
229261,30500000,28000,58000000,2022
229582,26500000,52000,47000000,2024
229857,27500000,95000,48800000,2024
229927,30000000,41000,59300000,2026
224309,24500000,33000,53300000,2023
230271,25000000,23000,47500000,2024
230313,10000000,32000,19000000,2024
230767,33000000,38000,69300000,2023
226754,30000000,41000,53300000,2024
226491,31000000,69000,65099999,2024
225953,30000000,82000,59300000,2025
225201,25000000,32000,54400000,2024
225085,28000000,42000,55300000,2023
230204,17000000,33000,30600000,2024
230498,21000000,27000,39900000,2024
192123,17500000,48000,33299999,2023
191202,11500000,100000,21300000,2023
191740,14500000,78000,26800000,2024
192064,17000000,32000,27200000,2023
192906,6000000,18000,9000000,2022
192598,15000000,32000,24000000,2023
192638,15000000,95000,27800000,2023
192789,15000000,34000,31500000,2023
190745,11500000,16000,20700000,2024
190813,17500000,64000,29800000,2023
189615,12500000,66000,23800000,2023
190717,15000000,79000,28500000,2023
190584,12500000,34000,26300000,2023
189805,17000000,34000,0,2022
189682,12000000,39000,22800000,2022
193348,17000000,69000,32299999,2024
189560,8500000,34000,17900000,2024
188042,11000000,24000,15400000,2023
188041,11500000,49000,18400000,2023
187052,12500000,2000,26300000,2023
186682,8500000,26000,17900000,2022
193198,15000000,30000,31500000,2023
198230,5500000,26000,11600000,2022
194209,8500000,2000,17900000,2022
202048,17500000,80000,34600000,2025
204024,14500000,31000,24700000,2023
203483,17500000,21000,24500000,2024
203299,17000000,46000,28900000,2023
202935,12000000,40000,22800000,2024
202857,14500000,60000,24700000,2023
202750,14500000,76000,27600000,2023
202648,20000000,24000,43500000,2023
202477,18500000,22000,33299999,2024
202335,17500000,81000,34600000,2024
201455,17500000,58000,35900000,2024
194333,5500000,23000,9900000,2023
200726,13000000,41000,0,2022
200315,17000000,30000,35700000,2022
199503,15500000,80000,29500000,2024
199354,14000000,28000,29400000,2022
198946,11500000,85000,19600000,2022
198784,18500000,100000,34200000,2023
198329,17000000,83000,32299999,2024
178509,8500000,48000,14500000,2024
196978,17500000,53000,33299999,2024
184484,14500000,83000,27600000,2022
170890,6000000,11000,9000000,2021
176919,1900000,26000,3000000,2022
226300,19000000,23000,39400000,2025
223597,16000000,53000,30400000,2024
224031,16000000,59000,27200000,2022
224196,21000000,31000,37300000,2023
224490,22000000,32000,43500000,2023
225116,30000000,40000,57000000,2023
225508,17500000,100000,33700000,2022
225663,24500000,53000,48400000,2024
226162,26500000,61000,52300000,2026
226221,18500000,34000,40200000,2024
226456,23000000,69000,45400000,2024
223249,5500000,18000,8300000,2023
226851,21500000,64000,37100000,2024
228093,27500000,29000,52300000,2023
228520,20500000,36000,44600000,2023
228687,25500000,37000,50400000,2024
230184,19000000,12000,36100000,2024
230216,15500000,32000,29500000,2024
230234,17000000,26000,32299999,2024
230251,18500000,15000,35200000,2024
230312,12000000,26000,22800000,2024
223578,14000000,36000,29400000,2024
222501,21500000,84000,42500000,2025
176635,14000000,55000,26600000,2024
216150,15500000,51000,26400000,2025
176550,8500000,48000,14500000,2022
173221,8000000,25000,13600000,2024
162240,11000000,21000,17100000,2021
159145,7500000,38000,12800000,2022
158121,5500000,24000,11000000,2022
156616,6000000,41000,10800000,2022
213516,21000000,20000,43600000,2024
204234,13500000,20000,29400000,2022
216145,16000000,47000,28400000,2024
216388,26500000,41000,52300000,2026
222028,23000000,16000,47700000,2024
216531,18000000,19000,36000000,2025
218339,23000000,56000,40800000,2023
219789,15500000,49000,29500000,2023
219809,19500000,95000,0,2023
220253,21000000,33000,45700000,2023
220523,19000000,76000,37500000,2023
220673,22000000,25000,47900000,2024
220793,19500000,77000,38500000,2024
221491,22500000,26000,39900000,2024
214047,17000000,17000,34000000,2023
204538,17000000,13000,25500000,2021
204259,15500000,53000,0,2022
210513,17500000,17000,27100000,2023
251809,25500000,27000,53600000,2025
252371,37000000,21000,70300000,2025
255475,39500000,17000,63200000,2025
212442,15000000,65000,29600000,2026
212404,18500000,77000,30500000,2022
212382,20500000,23000,32299999,2024
212096,17500000,35000,31500000,2025
211748,18500000,55000,31500000,2024
211241,15500000,35000,32600000,2024
211022,18500000,33000,38900000,2024
210897,20500000,16000,42500000,2022
210625,21000000,59000,37300000,2023
210324,17500000,35000,29800000,2023
247204,25000000,70000,49400000,2026
210315,23000000,26000,50000000,2026
209846,16000000,32000,28800000,2024
208165,15000000,51000,25500000,2023
208135,17500000,87000,33299999,2023
208104,15000000,15000,31100000,2023
207566,15000000,27000,31500000,2023
207494,17500000,115000,32400000,2022
206585,19000000,76000,36600000,2025
206545,17000000,39000,35700000,2022
206467,18000000,38000,30600000,2023
205923,16000000,85000,30400000,2024
138412,7000000,76000,13000000,2022
247851,24500000,52000,48400000,2024
41,5500000,10000,7200000,2024
244067,33000000,42000,62700000,2024
236480,24500000,50000,48400000,2023
243812,38500000,115000,86600000,2025
232432,27000000,130000,57400000,2024
232580,24000000,65000,47400000,2025
232665,23500000,29000,51100000,2023
232730,24000000,29000,42600000,2023
232756,25000000,35000,47500000,2025
233738,24000000,29000,52200000,2024
234035,21500000,120000,0,2022
234236,23500000,57000,41700000,2025
234612,25000000,36000,49400000,2023
235073,21500000,36000,38200000,2026
235688,23000000,15000,47700000,2025
206413,12500000,1000,26300000,2022
236506,25000000,12000,42500000,2023
239433,23000000,30000,50000000,2024
236572,25000000,10000,39400000,2023
241788,18000000,19000,36000000,2024
241637,28000000,41000,58800000,2024
240679,24500000,41000,43500000,2026
240243,35500000,48000,79900000,2026
242516,28000000,19000,44800000,2025
239301,25000000,16000,40000000,2023
237239,21000000,32000,45700000,2022
236632,25000000,19000,36900000,2023
237942,26000000,29000,59800000,2027
236610,39500000,69000,0,2023
199576,12000000,53000,22800000,2023
24630,1600000,27000,2700000,2022
178007,5500000,22000,9400000,2022
178088,9000000,100000,16700000,2022
203605,12500000,35000,21300000,2023
199189,16000000,95000,30800000,2023
199206,9000000,42000,17100000,2022
198658,15000000,13000,22500000,2023
198657,12500000,21000,25000000,2024
197837,11500000,42000,19600000,2024
146439,6000000,27000,13200000,2022
195096,13500000,29000,27000000,2024
199915,13000000,56000,25700000,2025
152908,4300000,42000,8199999,2022
156433,1600000,8000,2700000,2022
159261,4800000,19000,8199999,2022
163155,1600000,27000,3000000,2022
199715,11500000,50000,0,2022
200155,14000000,29000,19600000,2025
200159,12000000,22000,22500000,2022
201042,12500000,48000,23800000,2022
201417,12500000,77000,23800000,2024
201995,14000000,58000,23800000,2025
202493,10000000,20000,21000000,2023
194222,9500000,25000,20900000,2022
195093,14000000,38000,0,2022
189053,9000000,38000,0,2022
193469,9000000,24000,18900000,2023
187936,9500000,47000,16200000,2022
178213,11000000,33000,23100000,2023
178224,9000000,12000,13500000,2021
178415,8500000,28000,11900000,2023
180216,9500000,69000,18100000,2023
183394,10000000,51000,19000000,2023
184392,10000000,77000,17000000,2024
185103,4300000,55000,7300000,2022
186197,13500000,32000,27000000,2023
199652,15000000,87000,0,2022
186801,9500000,51000,18100000,2022
187607,0,0,0,
188335,14000000,34000,29400000,2025
193408,14000000,18000,28000000,2024
189125,11500000,52000,19600000,2022
189280,10000000,36000,19000000,2023
189505,9000000,61000,15300000,2024
189606,7000000,46000,11900000,2022
189881,9500000,47000,16200000,2023
190243,4600000,39000,7800000,2023
191180,11000000,23000,23100000,2022
192678,12000000,33000,25200000,2024
192679,10000000,24000,21000000,2022
193171,7500000,26000,16500000,2023
193361,13500000,35000,23000000,2023
202849,13500000,83000,26700000,2024
243559,22000000,26000,50600000,2025
203747,17000000,69000,0,2022
203843,7500000,28000,15800000,2022
242187,22500000,27000,42800000,2025
241727,16500000,20000,34200000,2023
240753,29000000,29000,60900000,2024
240699,22000000,17000,35200000,2022
239817,27000000,68000,56700000,2026
239613,22000000,42000,41800000,2025
239380,28500000,27000,45600000,2025
238616,28500000,62000,59900000,2025
238476,20500000,42000,39000000,2022
238463,21000000,58000,37300000,2025
238067,31500000,38000,59900000,2024
237678,29500000,73000,60500000,2026
236791,18500000,33000,32799999,2024
236355,26000000,44000,49400000,2022
236045,15000000,34000,29600000,2022
242201,17500000,24000,38100000,2024
243238,7000000,1000,14700000,2021
228413,15000000,14000,26600000,2026
246147,30500000,56000,62500000,2025
244193,31000000,15000,68200000,2023
244253,28000000,31000,64400000,2024
244467,15000000,900,32600000,2024
244622,28000000,19000,64400000,2025
245630,21500000,43000,42500000,2024
246104,33000000,11000,52800000,2023
246430,29000000,43000,55100000,2023
256630,29500000,18000,56100000,2026
246646,30000000,39000,63000000,2023
246844,19000000,23000,41300000,2025
248243,29500000,44000,66400000,2027
248695,29000000,57000,60900000,2025
252145,29000000,8000,0,2022
253163,29500000,90000,66400000,2023
235353,31000000,53000,65099999,2024
234835,17500000,24000,38100000,2023
234060,22000000,90000,0,2022
206651,11000000,30000,23100000,2023
230206,7500000,37000,13500000,2024
230183,15000000,20000,28500000,2024
229909,11000000,39000,19500000,2023
208295,9500000,69000,18100000,2022
208268,17500000,47000,31100000,2024
243630,32000000,31000,67200000,2025
206590,15000000,33000,31500000,2025
230285,13500000,35000,24300000,2024
206534,15000000,82000,28500000,2026
205966,15000000,59000,0,2022
205409,2400000,12000,0,2021
205192,16000000,26000,34800000,2023
204614,12000000,54000,20400000,2025
204082,13500000,56000,24000000,2022
230212,14500000,20000,27600000,2024
230360,15000000,13000,28500000,2024
233486,19000000,26000,41300000,2022
231352,31500000,49000,59900000,2026
232487,13500000,29000,25300000,2024
232229,27000000,8000,45900000,2025
232080,22000000,66000,46200000,2024
231887,20500000,36000,40500000,2024
231691,17500000,18000,36300000,2024
231410,31500000,90000,0,2023
231340,21000000,23000,48300000,2026
230385,14000000,45000,26600000,2024
230460,16500000,33000,29700000,2024
230442,17000000,14000,32299999,2024
167397,6000000,19000,13200000,2022
230440,9000000,43000,17100000,2024
230426,16500000,30000,29700000,2024
230406,15500000,38000,27900000,2024
165229,3700000,19000,7400000,2022
228881,18000000,31000,32000000,2025
170368,14000000,30000,29400000,2024
214097,16000000,47000,31600000,2023
219733,16500000,29000,34200000,2024
219581,16000000,51000,26800000,2022
217546,12000000,16000,24000000,2024
217036,12500000,25000,26300000,2024
216643,15000000,55000,29600000,2024
216320,17500000,32000,36300000,2024
216194,11500000,29000,24200000,2022
215590,15000000,95000,28500000,2023
215353,14500000,56000,24700000,2024
214766,9000000,18000,12600000,2022
214092,17500000,46000,31100000,2025
219985,13500000,88000,23000000,2022
214040,12000000,18000,16800000,2023
213956,18500000,79000,36500000,2023
213951,10500000,12000,21800000,2025
213577,14000000,27000,29400000,2024
213331,17500000,43000,31100000,2025
212419,14000000,61000,27700000,2024
212213,12500000,15000,25000000,2026
212207,14000000,1000,29400000,2023
211591,20500000,57000,40500000,2023
210930,14000000,11000,21000000,2024
219792,15500000,43000,30600000,2025
220883,19000000,32000,33700000,2025
210736,15000000,85000,0,2022
225341,16000000,28000,34800000,2026
227890,16500000,17000,34200000,2025
227678,20000000,50000,42000000,2026
227535,21000000,61000,36200000,2024
227174,20000000,50000,39500000,2025
227055,16500000,50000,32600000,2024
226789,20000000,23000,41500000,2023
226766,18500000,79000,36500000,2024
